stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,18.4,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,168.24,13.14,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,220.29,9.44,0,0,138.47,0,3.15,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,3,2,0,0,0,4,0,0,0,0,0,0,0,3,0,2,49,0,0,0,1,1,0,9,0,1,17,9,0,0,0,1
 24-34,0,0,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,1.64,0,0,4.93,0,1.64,38.58,0.82,0,0.82,0,0,0,0,0,0,1.64,7.39,0,1.64,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0.81,1.61,0,0,0,0,0,0,0,7.25,0,4.03,29,0,0.81,0,0,1.61,0,0,0,0,0,8.86,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,9.75,0,0,0.57,4.02,0,0,0.57,0,0,0,0,9.75,0,1.15,45.33,0,0,0.57,0,0.57,0,0,0,0,0,5.16,0,0.57,0,0
 60-70,0,0,0,0,0,0,20.61,0,0.98,0,0.98,0,0,0,0,0,0,0,9.82,0,0,28.46,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,9.82,0,0,0,2.94,0.98,0,0,0,0,0.98,0,7.85,0,0,30.43,0,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0.98,0.98,0.98
 84-94,0,0,0,0,0,0,7.43,1.06,0,0,3.19,0,0,0,0,0,0,0,6.37,1.06,0,15.93,0,0,0,0,1.06,0,0,0,0,0,2.12,2.12,0,0,0
 96-106,0,0,0,0,1.09,0,5.46,0,0,0,1.09,0,0,0,0,1.09,0,0,3.28,0,0,5.46,0,0,0,0,2.19,0,0,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,2.3,0.77,6.13,0,0.77,0.77,3.06,0,0,0,0.77,0,0,0.77,5.36,0.77,1.53,13.02,0.77,0,0,0,1.53,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
