stage,blastomeres,erythrocytes,eye,gut,heart,liver,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,10.51,5.26,0,0
 10-12,0,0,3.15,0,0,0,0,6.29,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,1,0
 24-34,0,0,0.82,0,0,0,0.82,3.28,0,0.82,0
 36-46,0,0,0,0,0,0,0,7.25,0,2.42,0.81
 48-58,0,0,2.3,0,0.57,0,0.57,4.02,0,1.15,0
 60-70,0,0,0.98,0,0,0,0,5.89,0,0.98,0
 72-82,0,0,0,0.98,0,0,0.98,7.85,0,0,0
 84-94,0,0,1.06,0,0,0,0,3.19,0,0,0
 96-106,0,0,2.19,0,0,1.09,0,2.19,0,2.19,0
108-118,0,0,0,0,0,0,0,3.83,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0
