stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,28.92,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0,0.82,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,1.15,0.57,0,0.57,0,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,2.94,1.96,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0,21.6,0,3.93,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,0,1.06,0,0,0,191.17,2.12,2.12,4.25,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,2.19,0,0,2.19,1.09,0,1.09,0,224.03,0,2.19,21.86,0,0,0,1.09,3.28,0,0,1.09,0,1.09,1.09
108-118,0,0,0,2.3,0.77,0.77,5.36,0.77,0,4.6,0,0,0,0.77,812.69,0,3.83,26.81,0,0.77,0,0,0.77,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,1.96,0,1.96,1.96,1.96,0,0,0,327.28,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0
