stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2
 24-34,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,6.57,0,0,0,0,0,4.1
 36-46,0,1.61,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0
 48-58,0,1.15,0.57,0,0,0,0,0,0.57,0,1.72,0.57,6.31,0.57,1.15,0,0,0,0.57
 60-70,0,1.96,4.91,0,0,0,0,0.98,0,0,0.98,0,12.76,0,0,0.98,0,0,2.94
 72-82,0,0.98,1.96,0,0,0,0,0.98,0,0.98,3.93,0,2.94,0,0,0,0,0,0
 84-94,0,0,3.19,0,0,1.06,1.06,1.06,0,0,0,0,3.19,0,0,0,2.12,0,0
 96-106,0,2.19,2.19,0,0,2.19,0,0,1.09,0,0,0,8.74,0,0,0,1.09,0,0
108-118,0,1.53,2.3,0,0.77,1.53,0,3.06,0,0,0.77,0.77,4.6,0.77,0,1.53,0,0.77,0
120,0,3.92,3.92,0,0,1.96,0,0,0,1.96,1.96,0,7.84,1.96,1.96,0,0,0,0
