stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,434.87,9435.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0
  5-6,104.2,1354.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,105.15,2.63,0,0,47.32,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,9.44,0,0,31.47,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,9,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,1,176,1,0,2,7,7,2,4,2,1,56,0,0,0,0
 24-34,0,0.82,0.82,2.46,0.82,0,34.48,0,0,0,13.13,0,0,0.82,0,0,0.82,0,0.82,12.31,0,0,4.93,235.59,0,2.46,4.93,0,11.49,0,0,3.28,1.64,92.76,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,50.76,0,0,0,12.09,0,0,0,0,0,0,1.61,0,10.47,0,0,1.61,158.72,0,0.81,2.42,0,7.25,0.81,0,0.81,0,44.31,0,0,0.81,0
 48-58,0,0,0,0,0,0,26.4,0,0,0.57,10.9,0,0.57,0,1.15,0,0,0,0,10.9,0.57,1.15,3.44,55.66,0,1.72,0.57,0,4.02,0,0,0,0,12.05,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,26.5,0,0.98,1.96,16.69,0.98,0,0,0,0,0,0.98,0,7.85,0,0,0.98,49.08,0,0.98,1.96,0,8.83,0,0,0,0,9.82,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,19.63,0,0,0,26.5,3.93,0,0,0.98,0,1.96,0.98,0.98,25.52,0.98,0,0.98,49.08,0,2.94,5.89,0,4.91,0,0,0.98,0,3.93,0.98,0,0.98,0
 84-94,0,0,0,4.25,2.12,1.06,20.18,0,1.06,0,18.05,5.31,1.06,0,5.31,0,1.06,0,0,11.68,0,1.06,1.06,49.92,0,2.12,2.12,0,31.86,0,0,0,0,7.43,0,0,3.19,0
 96-106,0,0,0,3.28,2.19,0,14.21,1.09,0,0,28.41,5.46,0,1.09,6.56,2.19,0,4.37,2.19,16.39,2.19,2.19,0,42.62,0,3.28,6.56,0,28.41,0,0,0,0,0,2.19,1.09,3.28,0
108-118,0,0,0,2.3,1.53,0,19.15,0,0,0.77,22.21,8.43,0,0,3.06,0.77,0,0,3.06,8.43,0,0,0.77,49.02,0,0.77,5.36,0,25.28,0,0,0,0,3.06,0.77,0,5.36,1.53
120,0,0,0,5.88,1.96,0,13.72,0,0,0,17.64,3.92,0,1.96,11.76,3.92,0,1.96,3.92,15.68,1.96,0,3.92,50.95,0,0,7.84,0,17.64,0,0,0,0,3.92,0,0,7.84,0
