stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,17,0,1,4,2,0,0,2,1,0,0,14
 24-34,0,0.82,1.64,0,0,1.64,4.93,0,0,0.82,0,0,0.82,46.79
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0,8.06
 48-58,0,0,0,0,0,2.3,0,0,0.57,0.57,0,0,0,8.03
 60-70,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,3.93
 72-82,0,0,1.96,0.98,0,11.78,0,0,0.98,0,0,0,0,1.96
 84-94,0,0,1.06,1.06,0,13.81,0,0,0,0,0,0,0,7.43
 96-106,0,0,1.09,0,0,24.04,0,0,0,1.09,0,0,0,8.74
108-118,0,0,0,0,0.77,36.77,0,0,0,1.53,0,0,0,10.72
120,0,0,1.96,0,0,47.03,0,1.96,0,0,0,0,0,9.8
