stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,10,5,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0
 24-34,0,0,2.46,0,0,3.28,1.64,0,0,0,0,0,0,0,0.82,0,0,0,15.6,21.34,0,0,18.06,27.09,0,0.82,0,0,0,2.46,0,0,0,6.57,4.1,0,0,0,3.28
 36-46,0,0,1.61,0,0,4.83,2.42,0,0,0.81,0,0,0,0,0,0,0,0.81,53.98,26.59,0,0,6.45,37.06,0,0.81,0,0,0,0.81,0,0,0,2.42,4.83,0,0,0,0.81
 48-58,0,0,0,0.57,0,7.46,2.3,0,0,1.15,0,0,0.57,0.57,0,1.15,0,0,65.41,12.05,0.57,0,1.15,24.1,0,0.57,0,0,0,1.72,0,0.57,0,0,2.87,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,11.78,0,0.98,0,0.98,0,0,0,0.98,0.98,0.98,0.98,0,47.11,18.65,0,0.98,0,31.41,0,0.98,0,0,0,1.96,0,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,0,2.94,0,11.78,0,0.98,2.94,1.96,0,0,0,0,0,0.98,0,0.98,51.05,51.05,0.98,0,7.85,14.72,0,0.98,0,0,0,1.96,0,1.96,0,0,1.96,0,0.98,0,1.96
 84-94,0,1.06,1.06,6.37,0,6.37,0,1.06,0,0,0,0,0,1.06,0,3.19,0,5.31,87.09,35.05,0,0,3.19,9.56,0,2.12,1.06,0,0,6.37,0,11.68,0,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,3.28,0,6.56,0,1.09,3.28,3.28,0,1.09,3.28,2.19,1.09,4.37,1.09,51.36,66.66,66.66,0,0,7.65,29.51,0,0,0,0,0,1.09,0,54.64,0,0,1.09,1.09,1.09,1.09,0
108-118,0,0,3.83,3.06,0,9.96,0,0.77,0.77,6.13,1.53,0,1.53,2.3,0,9.96,0,227.49,90.38,68.94,1.53,0,13.79,15.32,0,0.77,0.77,0,1.53,6.89,0,95.75,0.77,0,0,0,0,0,4.6
120,0,0,7.84,0,1.96,7.84,0,0,1.96,9.8,1.96,0,1.96,5.88,0,7.84,0,246.93,41.16,103.87,0,0,21.56,17.64,1.96,0,0,0,0,1.96,0,82.31,0,0,0,0,0,0,0
