stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,88,1,0,0,1,0,0,0,0,23,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,13.13,0,0.82,0,19.7,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0.82,777.35,0,0.82,1.64,0,0,0,0,0,120.67,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,25.78,0,0,1.61,130.52,0,0,0,0,0,0.81,0,0,0,8.86,0,0,4.83,1985.97,0.81,1.61,3.22,0,0,0.81,0,0,323.88,0,0,2.42,0,0
 48-58,0.57,0.57,0,5.16,0,0,94.1,0.57,0.57,1.15,269.69,0,0,0.57,0,0,1.15,0,0,0,26.97,0,0,2.3,2295.79,1.15,1.72,1.72,0.57,0,4.02,0,0,315.59,0,0,5.74,0,2.3
 60-70,0,0,0,7.85,0.98,0,110.91,1.96,0.98,0,322.92,0,0,0,3.93,0,0,0,0,0.98,36.32,0,0,2.94,2424.36,0.98,0,0,0,0.98,3.93,0,0,271.88,0,0.98,2.94,1.96,2.94
 72-82,0,0.98,0,20.61,2.94,0,173.75,0,0,2.94,327.88,0.98,0,0.98,1.96,0.98,0.98,0.98,0.98,0,73.62,0,1.96,3.93,1717.91,0,0.98,6.87,0,0.98,1.96,0,0,160.99,1.96,0.98,20.61,1.96,0.98
 84-94,0,2.12,0,11.68,4.25,0,225.15,1.06,0,1.06,181.61,1.06,1.06,2.12,2.12,0,1.06,1.06,0,1.06,61.6,0,3.19,3.19,911.23,2.12,3.19,2.12,0,1.06,6.37,2.12,1.06,93.46,0,3.19,22.3,0,0
 96-106,0,0,0,22.95,5.46,1.09,145.35,0,1.09,0,206.55,1.09,0,1.09,3.28,0,0,0,0,0,61.2,0,5.46,5.46,760.62,1.09,3.28,8.74,0,1.09,3.28,0,0,53.55,1.09,3.28,21.86,4.37,3.28
108-118,0,0,0,14.55,0.77,0,88.85,0,0.77,0,198.38,2.3,0,0.77,0.77,0,1.53,0,0,0,67.4,0.77,3.06,2.3,904.6,0,2.3,9.19,0,2.3,5.36,0,1.53,32.94,0.77,0.77,20.68,3.83,1.53
120,0,0,0,17.64,1.96,0,150.9,1.96,3.92,0,235.17,0,0,0,3.92,1.96,1.96,0,1.96,1.96,99.95,0,1.96,3.92,1021.05,1.96,5.88,9.8,0,3.92,5.88,0,0,35.28,0,0,17.64,1.96,0
