stage,erythrocytes,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,2,1,3,3,18,0,0,0
 24-34,0,0,0,0,0,0,1.64,0.82,0,0.82,0,0,1.64,1.64,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0.98,0,0,0.98,0,0,1.96,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,4.25,0,0,0,3.19,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,7.65,0,0,1.09,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,6.89,0,0,0.77,0,0,0,0,0,0,0
120,0,0,1.96,1.96,0,1.96,19.6,0,1.96,1.96,0,0,0,0,0,0,1.96
