stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,120.92,0,0,42.06,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,147.91,0,0,3.15,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,5,25,2,0,1,0,0,0,0,5,0,0,0,4,0,1,0,3,0,0,2,4,1,3,0,0,7,1,8,1,7,1,0,0,0,0
 24-34,0,0,0,0.82,6.57,0,0,1.64,0,1.64,0.82,0,0,0,0,0,4.93,0.82,0,0,3.28,2.46,0,1.64,6.57,2.46,12.31,0,0,32.01,0,0,4.1,3.28,3.28,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,0,1.61,0.81,0.81,1.61,0.81,0.81,0,3.22,0.81,0.81,1.61,0,2.42,0,0,14.5,2.42,4.83,0,0,20.14,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,1.15,0.57,1.72,0,0.57,0,0,0,0,0.57,1.72,0,0,0.57,4.02,0.57,0.57,13.2,1.15,4.02,0,0,11.48,0,0,2.87,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,8.83,0,0,1.96,0.98,1.96,0,0.98,4.91,0,0,0,0.98,2.94,1.96,0,2.94,1.96,0,0,10.8,1.96,1.96,0,0,14.72,0,0,1.96,0,0,0.98,0,0,0
 72-82,0,0,1.96,0,9.82,0,0,2.94,0.98,0.98,0.98,3.93,3.93,1.96,0.98,0.98,1.96,11.78,0,0,1.96,9.82,0.98,0,9.82,1.96,8.83,0,0,18.65,0,0,7.85,0,0.98,4.91,0,0,0
 84-94,0,0,3.19,0,14.87,0,0,0,0,2.12,0,2.12,16.99,2.12,0,0,5.31,5.31,4.25,0,3.19,4.25,0,0,6.37,5.31,4.25,0,0,53.1,0,0,3.19,0,0,3.19,1.06,1.06,1.06
 96-106,0,0,5.46,0,10.93,1.09,0,4.37,0,1.09,1.09,2.19,12.02,0,0,2.19,7.65,13.11,2.19,0,3.28,5.46,0,0,7.65,5.46,6.56,0,1.09,51.36,0,0,4.37,0,1.09,6.56,0,1.09,0
108-118,0,0,0.77,0,22.21,0,9.96,0.77,0,2.3,1.53,3.83,13.79,0,0.77,0.77,10.72,9.96,3.06,0,1.53,3.06,0.77,0,1.53,3.83,4.6,0,0,25.28,0,0,6.89,0,0,8.43,0.77,0,0
120,0,0,3.92,0,11.76,0,0,0,0,3.92,0,0,19.6,0,0,0,13.72,0,0,0,0,5.88,0,0,9.8,5.88,1.96,0,0,19.6,0,0,5.88,0,0,7.84,0,0,0
