stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,7.89,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,20,2,0,0,0,0,0,33,0,0,0,0,1,0,0,1,13,2,0,0,0,5,2,1,0,1,0,0,0,0
 24-34,0,0,0.82,0.82,1.64,3.28,1.64,0.82,0,0,0,0,53.36,9.85,0.82,0,0,4.1,0,0,0.82,23.8,0,1.64,0,0,11.49,0,0,6.57,0.82,4.1,0,7.39,0
 36-46,0,0,0.81,0,0,0,1.61,0,1.61,0,0,0,72.51,1.61,0,0,0.81,0,0.81,0,0,17.72,0,1.61,0,0,5.64,0.81,0,3.22,0,8.06,0,8.86,0
 48-58,0,0,0,0,0.57,0,0.57,0.57,1.72,0,0,0,59.1,0.57,0,0,0,0.57,0,0,0,12.62,0,0.57,0,0,4.02,0,0,1.72,0,3.44,0,2.87,0
 60-70,0,0,0,0,0.98,0,5.89,0,3.93,0.98,0,0,66.74,1.96,0,0.98,0,1.96,0,0,0,16.69,0,0,0,0,7.85,0,0,0.98,0,4.91,0,6.87,0.98
 72-82,0,0,0,0,0.98,4.91,2.94,0,5.89,0.98,0,0.98,113.87,2.94,0,1.96,0,7.85,0,0,0,11.78,0,1.96,1.96,0,10.8,0,0,0.98,0,1.96,0,18.65,0
 84-94,0,0,1.06,0,0,7.43,4.25,0,0,1.06,0,0,147.62,6.37,1.06,3.19,0,7.43,0,1.06,4.25,2.12,0,0,3.19,0,10.62,0,0,1.06,0,0,1.06,15.93,0
 96-106,0,0,0,0,3.28,2.19,3.28,0,2.19,3.28,0,1.09,174.86,5.46,0,1.09,1.09,4.37,1.09,1.09,0,4.37,1.09,1.09,0,0,30.6,0,0,3.28,0,0,0,27.32,0
108-118,0,0,0,0,2.3,4.6,1.53,0,0.77,0,0,0,157.79,4.6,0,3.06,0.77,4.6,0,0,0,5.36,0,1.53,0.77,0,12.26,0,0,1.53,0,0.77,0.77,23.74,0
120,0,0,0,0,1.96,9.8,1.96,0,1.96,0,0,0,133.27,3.92,0,0,0,1.96,0,0,0,9.8,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,15.68,0
