stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,5,1,6,1,0,2,1,0,0,0,0,0,1,4,0,0,6,31,0,0,1,0,2,3,0,5,15,0,0,0,0,0
 24-34,0,1.64,0,5.75,0,0.82,0.82,0,0,0,0,0,0,0,4.1,0,0,1.64,41.86,0,1.64,0,0,0.82,0,0.82,0,8.21,0,0,1.64,0,0.82
 36-46,0,0.81,0,8.86,0,0.81,1.61,0,0.81,0,0,0,0.81,0,4.83,0,0,4.03,38.67,0,1.61,0.81,0,0.81,0,0,0,15.31,0,0,1.61,0,0
 48-58,0,0.57,0,5.16,0,0.57,1.15,0,0.57,0,0,0,0,0.57,8.61,0.57,0,0,33.85,0,1.15,0,0.57,1.15,0,0,0,5.74,0,0,1.15,0,0
 60-70,0,2.94,0.98,15.7,0.98,0.98,4.91,1.96,0,0,0,0,0,0,13.74,0,0,0.98,27.48,0,0,0,0,0.98,0,0,0,5.89,0,0,0.98,0.98,0.98
 72-82,0,0,0.98,13.74,0,2.94,5.89,0,0,0.98,0,0.98,0,0,20.61,1.96,0,2.94,28.47,0,2.94,0,0,1.96,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,1.06,3.19,11.68,0,1.06,5.31,0,0,0,0,0,1.06,1.06,5.31,1.06,1.06,0,23.36,0,1.06,1.06,0,8.5,0,0,0,1.06,0,1.06,4.25,0,0
 96-106,1.09,4.37,1.09,7.65,2.19,1.09,4.37,2.19,0,0,0,1.09,0,0,8.74,1.09,1.09,1.09,25.14,0,3.28,0,0,8.74,0,0,0,1.09,1.09,0,0,1.09,0
108-118,0.77,1.53,1.53,9.96,2.3,0.77,4.6,0.77,0.77,2.3,3.06,0.77,0,0.77,7.66,0.77,0,1.53,18.38,2.3,0.77,1.53,0.77,4.6,0,0,0,0.77,0.77,0,3.83,1.53,0.77
120,0,0,7.84,11.76,1.96,0,0,1.96,0,1.96,0,0,0,0,17.64,0,1.96,0,23.52,0,3.92,1.96,0,7.84,0,0,0,0,1.96,0,0,0,0
