stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,7,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,50,3,0,0,1,0,4,2,0,1,6,49,0,0,0,0,1
 24-34,0,0,6.57,0,0,12.31,0,0.82,0,3.28,0,0,0,0,0.82,0,0.82,0,0.82,9.85,0,0,7.39,169.1,0,2.46,0.82,0,0,1.64,0,0,0,4.1,146.93,0,0,4.1,0,0.82
 36-46,0,0,0.81,0,0,14.5,0,2.42,0.81,5.64,0,0,1.61,0,0.81,0,0,4.03,1.61,7.25,0.81,0,3.22,195.78,3.22,0.81,0,0,0,10.47,0,0,1.61,0,229.62,0,0,0.81,0,0.81
 48-58,0,0,1.15,0,0,39.02,1.15,1.15,0,13.77,0,3.44,0,0,0.57,1.72,0,0.57,2.3,13.77,2.87,1.15,3.44,191.08,0,0,0.57,0,0,1.15,0,0.57,0,0,227.23,0,0,1.15,0,1.72
 60-70,0.98,0,2.94,0,0,34.35,0,0,1.96,15.7,1.96,0,0,0.98,0.98,0,0.98,0,1.96,12.76,0.98,0,0.98,191.4,0,0.98,0,0,0,2.94,0,0,0,0,210.05,0,0,0.98,0,1.96
 72-82,0.98,0,3.93,3.93,0,39.27,1.96,0.98,0,22.58,2.94,0.98,0.98,1.96,4.91,0.98,0,0,1.96,35.34,0,0.98,1.96,254.25,0.98,2.94,0,0,0,1.96,0,0,0,0,173.75,1.96,0,1.96,0.98,0.98
 84-94,1.06,0,7.43,1.06,0,52.04,0,1.06,0,18.05,3.19,0,0,0,5.31,1.06,0,0,1.06,30.8,1.06,1.06,0,133.82,1.06,2.12,0,0,1.06,2.12,0,0,0,0,109.39,1.06,1.06,3.19,1.06,0
 96-106,0,0,13.11,3.28,0,40.44,1.09,0,0,15.3,6.56,0,0,2.19,9.84,4.37,2.19,0,0,21.86,2.19,0,2.19,130.05,0,1.09,1.09,0,0,2.19,0,1.09,0,0,59.01,2.19,0,3.28,0,4.37
108-118,0,1.53,6.89,3.06,3.83,25.28,0.77,3.06,1.53,9.96,6.13,0,0,1.53,8.43,1.53,0.77,2.3,2.3,17.62,1.53,0,0,150.13,0.77,3.06,0,0,0,1.53,0,0,0,0,47.49,2.3,0.77,1.53,1.53,0
120,0,0,9.8,0,3.92,13.72,1.96,1.96,1.96,7.84,0,0,0,0,5.88,0,0,0,0,15.68,0,0,0,260.65,0,5.88,0,0,1.96,1.96,0,0,0,0,74.47,0,0,1.96,1.96,0
