stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,171.31,2187.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,36.78,668.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,73.6,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,25.18,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,103.85,0,0,0,0,94.41,3.15,0,0,0,0
 14-21,0,0,1,0,66,2,0,0,0,2,0,4,0,1,0,0,0,15,0,0,1,16,1,0,0,9,0,0,0,8,4,0,2,0,16,0
 24-34,0,0,0,1.64,4.93,4.93,0,1.64,0,0,0,9.03,1.64,0,0.82,0,0,1.64,0,0,4.1,29.55,0,0,0,0,0,0.82,0,0,0,7.39,8.21,0,56.64,0
 36-46,0,0,0,0,0,8.06,0,3.22,8.06,0,0,9.67,3.22,0,0,0,0,3.22,0,0,4.83,33.03,0,0,0,0,0,0,0,0,0.81,0,10.47,0,12.89,0.81
 48-58,0,0,0,0,2.3,13.77,0.57,5.16,14.35,0,0,13.77,5.16,0,0,0.57,0.57,6.31,0,0,3.44,40.74,0,0,0.57,0,0,0,0,0,0,0,14.35,0.57,18.94,0.57
 60-70,0,0,0,0,3.93,24.54,0,3.93,67.73,0.98,0,12.76,7.85,0,0,0,0,5.89,0,2.94,0,36.32,0,0,0.98,0,1.96,0.98,0,0,0,0,7.85,0,30.43,0
 72-82,0,0,0,1.96,7.85,14.72,0,5.89,87.37,0.98,0,23.56,53.01,0,0,6.87,0.98,20.61,0.98,1.96,0,63.81,0,0.98,0.98,0,6.87,0,0,0,0,0,8.83,1.96,48.1,2.94
 84-94,0,0,0,0,8.5,7.43,0,6.37,53.1,1.06,0,18.05,50.98,0,0,2.12,0,13.81,0,4.25,0,38.23,0,1.06,0,0,2.12,0,0,0,0,0,3.19,1.06,52.04,1.06
 96-106,0,0,0,2.19,7.65,8.74,0,1.09,60.11,2.19,0,30.6,83.06,0,0,2.19,0,15.3,0,2.19,0,31.69,0,1.09,0,0,6.56,2.19,0,0,1.09,0,5.46,0,44.81,2.19
108-118,0,0,0,0,3.83,5.36,0,3.83,52.85,0.77,0,7.66,102.64,0,0,1.53,0,7.66,0.77,1.53,1.53,32.17,0,0.77,1.53,0,5.36,1.53,0,0,2.3,0,0.77,0.77,37.53,0.77
120,1.96,0,0,3.92,9.8,5.88,0,0,62.71,0,0,11.76,160.7,0,1.96,3.92,0,11.76,0,0,0,25.48,0,0,1.96,0,3.92,3.92,0,0,1.96,0,7.84,0,45.08,0
