stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,1,0,0,1,4,0,0,0,0
 24-34,0,0,1.64,0.82,7.39,0,0,0,0,0,0,1.64,0.82,0.82,0,0,0,0,9.85,0.82,0,1.64,67.31,0.82,0,1.64,9.03,0,0.82,0.82,0.82,17.24,0,1.64,0,0.82
 36-46,0,0,1.61,0,6.45,1.61,0.81,0.81,1.61,0,0,0,0,0.81,0.81,0,0,0,4.83,0,0,0,37.06,0,0,0,3.22,0,0.81,0,0,8.06,0,1.61,0,0
 48-58,0,0,0.57,0.57,13.2,1.15,0,1.15,3.44,0,0,0.57,0,0,0,0,0,0,9.18,0,0.57,2.87,39.02,0,0,0,0.57,0,0,1.72,0,7.46,0,1.72,0,0
 60-70,0,0,3.93,0,24.54,0,0,2.94,6.87,0.98,0,0.98,0.98,0.98,0,1.96,0,0.98,9.82,0,0.98,0.98,50.06,0.98,0.98,0.98,2.94,0,1.96,2.94,0,8.83,0.98,0,0,0
 72-82,1.96,0,0.98,2.94,33.38,0,0,0.98,18.65,3.93,0,0.98,0,0.98,0,0,0.98,0,27.49,0.98,0.98,1.96,66.75,0,1.96,0.98,2.94,0,1.96,0,0,4.91,0,0.98,0.98,0.98
 84-94,0,0,3.19,0,23.36,0,1.06,0,5.31,3.19,1.06,0,0,2.12,0,0,0,0,11.68,0,0,2.12,25.49,0,0,0,5.31,0,1.06,0,0,3.19,0,1.06,0,1.06
 96-106,0,0,2.19,1.09,8.74,0,0,1.09,4.37,0,0,1.09,2.19,0,0,0,0,0,3.28,1.09,0,0,6.56,1.09,0,1.09,4.37,0,0,0,0,0,0,2.19,2.19,0
108-118,0,0,3.06,0.77,5.36,0,0.77,0,0.77,2.3,0,0,0.77,0.77,0,0,0,0,6.89,0,0.77,1.53,10.72,0,0,0.77,6.13,0,0.77,0,0,0.77,0,0,0,0
120,0,0,5.88,3.92,17.64,0,3.92,0,9.8,3.92,0,0,0,0,0,0,0,3.92,15.68,0,0,1.96,27.44,1.96,0,0,13.72,0,0,0,0,0,1.96,0,0,0
