stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,13.14,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,16,1,0,0,0,0,0,1,4,5,10,0,0
 24-34,0,0,0,0,3.28,0,4.1,0,0,1.64,0,0,0,0,0.82,0,0,0,9.85,0,0,1.64,105.89,0,3.28,0.82,0,0,2.46,0,0,0.82,22.16,0,1.64
 36-46,0,0,0,0,0,0,18.53,0,0,3.22,0,0,0.81,0,0,0.81,0.81,0,6.45,0,0,0.81,75.73,0,0,0,0,0,0.81,0,0,0,13.7,0,0
 48-58,0,0,0,0,0,0,19.51,0,0.57,2.3,0.57,0,0,0,0,0,0,0.57,7.46,0,0,0,40.17,0.57,0,0,0,0,0.57,0,0,0,9.75,0,0
 60-70,0,0,0,0,0,0,20.61,0,0,4.91,0,0,0,0,0,0.98,0,0,5.89,0,0.98,0,37.3,0.98,0.98,0,0,0,0.98,0,0,0,3.93,0,0
 72-82,0,0,1.96,0,1.96,0,29.45,0,0,7.85,0,0,0,0,0,0.98,0,0,14.72,0,0,0.98,50.06,0,0,1.96,0,0,0,0,0,0,1.96,0,2.94
 84-94,0,0,0,0,1.06,1.06,13.81,0,0,4.25,0,1.06,0,1.06,0,0,0,0,12.74,1.06,1.06,1.06,13.81,0,0,1.06,0,1.06,2.12,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,1.09,0,8.74,0,1.09,5.46,0,0,1.09,1.09,1.09,0,0,0,1.09,0,0,0,16.39,0,0,2.19,0,1.09,3.28,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,5.36,0,0,3.83,0,0,0,0,0,0,0.77,0,5.36,0,0,1.53,19.15,0.77,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,3.92,0,3.92,1.96,0,3.92,0,0,0,1.96,1.96,0,1.96,0,3.92,0,0,0,13.72,0,1.96,0,0,0,3.92,0,0,0,0,0,0
