stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,14,19,0,0,0,0,0,0,0,3,0,0,24,0,0
 24-34,0,0,0,83.73,1.64,0.82,0,4.1,0,0.82,0.82,0,0,0,0,0,0,0,14.78,0.82,0,6.57,14.78,2.46,0,0.82,0,0,0,0,0,5.75,0,0,119.84,0,0
 36-46,0,0,0,24.17,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,15.31,0,0,8.86,25.78,0,0.81,0,0,0,0,0,0,7.25,0,0,73.32,0,0
 48-58,0,0,0,12.05,0,3.44,0,0,0,0,0,0,4.02,0,0,0,0,0,32.71,0,0,5.74,25.25,0,0,0.57,0,0,0,0,0,9.18,0,1.15,63.69,0,0
 60-70,0,0,0,15.7,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,47.11,0,1.96,3.93,41.22,0,0,0,0,3.93,0,0,0,13.74,0,0.98,44.17,0,0.98
 72-82,0,0,0,3.93,0.98,5.89,0,0,0.98,1.96,0,0,1.96,0,0,0.98,0.98,0,81.48,0,2.94,5.89,65.77,0,0,1.96,0,3.93,0,0,0,15.71,0,2.94,61.84,3.93,0
 84-94,0,0,0,10.62,1.06,10.62,0,0,0,1.06,0,0,1.06,0,4.25,0,0,0,64.78,0,8.5,5.31,40.36,0,0,0,0,6.37,1.06,0,1.06,5.31,1.06,3.19,65.85,1.06,0
 96-106,0,0,0,5.46,0,10.93,0,0,0,5.46,2.19,0,0,0,2.19,0,0,1.09,40.44,0,1.09,4.37,45.9,0,0,3.28,0,10.93,0,0,0,4.37,0,4.37,69.94,2.19,0
108-118,0,0,0,3.83,0,5.36,0.77,0,1.53,2.3,0,0,1.53,0.77,2.3,0,0,0,38.3,0,2.3,1.53,47.49,0,0,2.3,0,12.26,0,0.77,0,2.3,0,1.53,54.38,0.77,0
120,0,0,0,3.92,0,7.84,0,0,0,1.96,0,0,0,0,1.96,0,0,0,47.03,0,1.96,3.92,50.95,0,0,0,1.96,11.76,0,0,0,1.96,0,1.96,48.99,1.96,0
