stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,1699.95,27212.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.7,0,0,0,0,0,0,0
  5-6,1330.13,14190.11,0,18.39,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,202.28,6.13,0,0,67.43,0,239.06,0,0,0,0,0,0,0
  7-9,28.92,44.69,0,23.66,0,0,49.95,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,927.94,31.54,0,0,436.37,0,0,86.75,0,0,0,0,0,0
 10-12,0,18.88,0,50.35,0,15.73,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,226.58,12.59,0,0,557.01,0,0,40.91,0,75.53,0,0,0,0
 14-21,0,0,0,1,12,11,0,0,0,0,0,1,12,0,1,0,0,0,206,0,61,75,1,0,0,30,0,0,4,25,0,4,10,0,0
 24-34,0,0,0,1.64,0.82,0.82,0.82,0,0.82,0.82,0.82,0,4.93,0,0,0,0,0.82,54.18,0,5.75,81.26,0,4.1,0,0,0,0,0,0,0,0.82,22.16,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,12.89,0,0,70.09,0,0.81,0,0,0,0,0,0,0,0,18.53,0,0
 48-58,0,0,0,0,0.57,0,8.03,0.57,0.57,0.57,0,0,0,0,0,0,0,0,5.74,0.57,0,103.28,0,0,0,0,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0,0,0,18.65,0.98,0,0.98,0,0,0,0,0,0,0,0,11.78,0.98,0,148.21,0,0,0,0,0,0,0,0,0,0,7.85,0,0
 72-82,0,0,0.98,0,0.98,0,32.39,0.98,0,6.87,0,0,0.98,0,0,0,0,0,10.8,0,0.98,210.08,0,2.94,0,0,0,0.98,0,0,0,0,6.87,0,0.98
 84-94,0,0,0,0,2.12,0,20.18,0,0,5.31,0,0,0,0,0,1.06,1.06,0,6.37,0,0,104.08,0,1.06,1.06,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,0,0,0,24.04,2.19,0,7.65,0,0,0,0,0,0,2.19,0,7.65,1.09,0,112.56,0,1.09,2.19,0,0,0,0,0,0,0,3.28,2.19,0
108-118,0,0,0,0,1.53,0,13.79,0,1.53,1.53,0.77,0,0.77,0.77,0,0,0.77,0,6.89,0,0,155.49,0,0,3.06,0,0.77,0.77,0,0,0,0,1.53,2.3,0
120,0,0,0,0,3.92,0,15.68,1.96,0,7.84,1.96,0,0,0,0,0,0,1.96,5.88,0,0,137.18,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0
