stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,10.51,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,1,8,1,2,2,0,8,0,4,6,1
 24-34,0,0,0,1.64,0,2.46,0,0,0,0,0,0,0,1.64,0.82,1.64,22.16,0,0,0,3.28,0,0.82,3.28,0.82,1.64
 36-46,0,0,0,0,0,0.81,0,0,2.42,0,0,0.81,0,0.81,0,0,18.53,0,0,0,2.42,0,0,0,2.42,0.81
 48-58,0,0,0,2.3,0,11.48,0.57,0,2.3,0,0,0,0,1.72,0,0.57,32.71,0,0,0,1.72,0,0,0,4.02,0.57
 60-70,0,0,0,0.98,0,17.67,0,0.98,0.98,0,1.96,0,0,0.98,0,0,41.22,0,0,0,3.93,0,0,0,3.93,0
 72-82,0,0,0,0,0,24.54,0,0,4.91,0,0.98,0,0,5.89,0,0.98,44.17,0,0.98,0,1.96,0,0,0,2.94,0
 84-94,0,0,0,0,0,5.31,0,0,4.25,1.06,1.06,1.06,0,0,1.06,0,20.18,0,0,0,4.25,0,0,0,1.06,1.06
 96-106,0,0,0,4.37,0,15.3,0,0,4.37,0,0,0,1.09,2.19,0,0,26.23,0,1.09,0,6.56,0,1.09,0,1.09,0
108-118,0,0,0,2.3,0.77,15.32,0,0,5.36,0.77,1.53,0,0,3.83,0,0,16.09,0,0,0,3.06,0,0,0,0.77,0
120,0,1.96,0,5.88,0,7.84,0,0,3.92,1.96,0,0,1.96,3.92,0,0,35.28,0,0,0,0,0,0,0,1.96,0
