stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,0,0,12,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,3.28,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0.82,216.71,0.82,36.12,0,0,0,1.64,0,0,68.13,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,15.31,0,0,0,2.42,0,0,0,0,0,0,0,0,3.22,0,0,0,737.19,0,72.51,0,0,0,1.61,0,0,236.06,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,72.3,0.57,0.57,0,5.16,0,0,0,0,0.57,0,0,0,6.89,0,0,0.57,716.68,0,37.3,1.15,0,0.57,1.15,0.57,0,204.27,0,0,0.57,0,1.15
 60-70,0,0.98,0,2.94,0,0,144.28,0,0,0,3.93,0,0,0,0,0.98,0.98,0,0,7.85,0,0.98,0,1282.85,0,50.06,0,0,0,0,0,0,244.4,0,0,0,0,1.96
 72-82,0,0,0,5.89,3.93,0,207.13,0,2.94,3.93,22.58,0.98,0.98,0.98,0,0,0,0,0.98,23.56,0,0,0.98,1276.16,0.98,72.64,0.98,0,0,5.89,0,0,167.86,0,0,1.96,0,2.94
 84-94,0,1.06,0,12.74,4.25,0,154,0,0,1.06,22.3,0,0,0,1.06,0,0,1.06,0,9.56,1.06,0,0,685.01,0,63.72,1.06,0,0,5.31,0,0,98.77,0,0,0,3.19,1.06
 96-106,0,3.28,0,9.84,5.46,1.09,186.88,0,0,1.09,31.69,0,0,5.46,1.09,2.19,0,1.09,0,24.04,0,2.19,2.19,744.23,0,115.84,1.09,0,0,5.46,1.09,0,52.46,0,0,1.09,1.09,1.09
108-118,0,0,0,12.26,0.77,2.3,141.7,1.53,0.77,0.77,32.17,2.3,0,0,0,0,0,0.77,0.77,17.62,0,0,0.77,978.9,0,84.26,0,0,0,3.06,0,0,54.38,0.77,0.77,2.3,0,1.53
120,0,0,0,13.72,0,1.96,129.35,0,1.96,0,29.4,0,0,1.96,1.96,1.96,0,0,0,15.68,0,0,1.96,952.46,1.96,43.12,0,0,0,7.84,1.96,1.96,43.12,0,0,1.96,0,0
