stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,49,354,39,0,95,0,1,0,101,15,0,9,0,1,0,0,2,0,474,0,0,472,5307,6,0,2,4,0,3,70,6,121,322,1723,0,0,7,0,0
 24-34,0.82,0,10.67,88.65,8.21,0,44.33,0.82,0,0.82,95.22,0.82,1.64,0.82,0.82,4.1,0.82,3.28,0,0,369.39,1.64,2.46,297.15,4275.84,1.64,6.57,4.93,0,0.82,14.78,5.75,0.82,57.46,17.24,1430.75,0,0,32.01,0,2.46
 36-46,0,0,0,22.56,0.81,0,179.66,4.83,0,1.61,53.98,1.61,0.81,5.64,2.42,0.81,0.81,0.81,2.42,2.42,345.63,0,11.28,125.68,4532.7,1.61,2.42,5.64,0.81,2.42,8.86,4.03,2.42,13.7,0,1189.17,0,0.81,19.34,0.81,3.22
 48-58,0,0.57,0,24.67,0.57,0,817.67,1.72,8.61,9.18,111.89,2.3,0.57,5.74,4.02,0.57,2.87,2.87,2.3,3.44,488.88,0.57,18.94,104.43,4566.91,6.31,3.44,2.3,0,1.15,18.94,0,1.72,12.62,0,954.81,0,1.72,13.77,0,18.36
 60-70,0,0.98,0,13.74,1.96,0,1087.53,1.96,5.89,8.83,72.63,0.98,0.98,1.96,5.89,0,0.98,0,2.94,0,518.24,2.94,24.54,94.23,3475.57,2.94,3.93,0,0,2.94,15.7,0,3.93,6.87,0,616.4,0,16.69,12.76,0,9.82
 72-82,0,0.98,0,53.01,19.63,0,1055.29,2.94,1.96,16.69,116.82,4.91,0,6.87,7.85,0.98,3.93,1.96,3.93,1.96,765.7,4.91,48.1,107,2422.74,0.98,4.91,5.89,0.98,4.91,15.71,0,0.98,3.93,0,377.94,0,32.39,10.8,13.74,20.61
 84-94,0,1.06,0,71.16,7.43,0,795.47,2.12,6.37,9.56,84.96,1.06,0,7.43,6.37,7.43,7.43,0,0,2.12,503.41,4.25,31.86,79.65,1370.03,0,3.19,6.37,0,2.12,14.87,0,2.12,5.31,0,208.16,0,37.17,13.81,11.68,4.25
 96-106,0,1.09,1.09,68.85,20.76,1.09,581.39,3.28,7.65,9.84,103.82,6.56,0,8.74,4.37,2.19,1.09,4.37,8.74,1.09,535.49,1.09,34.97,65.57,1044.76,1.09,4.37,4.37,0,7.65,21.86,0,1.09,6.56,0,101.63,3.28,17.49,7.65,12.02,6.56
108-118,0,0,0,23.74,3.83,0,474.9,0.77,3.83,1.53,62.81,3.06,0,4.6,2.3,1.53,0.77,0,1.53,1.53,509.37,0.77,19.15,60.51,1180.35,0.77,4.6,0,0,4.6,9.96,0,1.53,6.13,0,75.06,1.53,13.02,3.06,14.55,1.53
120,0,0,0,15.68,1.96,0,423.31,1.96,1.96,5.88,62.71,5.88,0,1.96,7.84,0,0,0,0,0,411.55,3.92,31.36,37.24,1001.45,1.96,0,5.88,0,9.8,5.88,0,1.96,1.96,0,45.08,0,15.68,3.92,11.76,1.96
