stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,1,0,0,0
 24-34,0,0,0,0,3.28,0.82,0,0.82,0,0,0,0,0,1.64,0,0,0.82,28.73,0,0,0.82,0.82,0,0.82,6.57,0.82,0,0
 36-46,0,0,0,0,6.45,0,0,0.81,0,0,0,0,0.81,1.61,0,0,0,21.75,0,0,1.61,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,7.46,0,0,3.44,0,0.57,0,0,0,5.74,0,0,0.57,17.21,0,0.57,0,0,0,0,2.3,0.57,0,0.57
 60-70,0,0,0,0,8.83,0,0.98,3.93,0,0,0,0,0,1.96,0,0.98,0,25.52,0,0,3.93,0,0,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,7.85,0,0,2.94,0,0,0,0,0,7.85,0,1.96,0.98,20.61,0,0.98,1.96,0.98,0,0,0.98,0,0,0
 84-94,0,0,4.25,0,6.37,0,0,1.06,3.19,1.06,0,0,0,5.31,2.12,2.12,0,5.31,0,1.06,4.25,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,1.09,0,5.46,0,0,0,5.46,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0.77,0,3.06,0,0.77,3.06,0.77,0.77,0,0.77,0,3.06,0,0,0.77,10.72,0,0,0,0.77,0,0,0,0.77,0.77,0
120,0,0,5.88,0,11.76,0,0,1.96,1.96,0,1.96,0,0,5.88,0,0,1.96,23.52,0,0,7.84,0,0,0,1.96,0,0,0
