stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,2,29,0,0,0,0,0,0,2,0,1,2,6,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0.82,0,1.64,0,0,0,0,0,0,0,0,5.75,0,1.64,75.52,0,0.82,0,0,0,0.82,0,0,0,3.28,15.6,0,0,4.1,0,0
 36-46,0,0.81,0,0,0,5.64,0,1.61,0,2.42,0,1.61,0,0,0,0,0,0,6.45,0,1.61,191.75,0,0,0,0,0,3.22,0,0,0.81,0,37.87,0,0,4.83,0,0
 48-58,0,0,1.15,0,0,43.61,0,1.15,0.57,6.89,0,1.72,0,0,0,0,0.57,0,5.74,0,4.02,263.38,0,1.72,0.57,0,0.57,0.57,0,0,2.87,0,45.9,0,0,1.15,0,1.15
 60-70,0,0,2.94,0,0,146.25,0,0,1.96,17.67,0,0.98,0,0,0,0.98,0.98,0,18.65,0.98,1.96,514.32,0,4.91,1.96,0,0,1.96,0,0,2.94,0,72.63,0,0.98,3.93,0,1.96
 72-82,0,0,7.85,1.96,0,126.63,0.98,0.98,3.93,30.43,0,0,1.96,1.96,0,0.98,0.98,0,57.92,0,6.87,481.01,0.98,4.91,1.96,0,0,3.93,0,0,0.98,0,50.06,1.96,1.96,5.89,0.98,0
 84-94,0,0,9.56,9.56,0,73.28,0,5.31,3.19,24.43,0,0,0,0,1.06,0,1.06,0,32.92,1.06,3.19,228.34,0,2.12,1.06,0,0,7.43,0,0,4.25,0,38.23,0,1.06,11.68,0,0
 96-106,0,0,14.21,3.28,1.09,83.06,1.09,3.28,1.09,25.14,2.19,3.28,0,1.09,0,0,1.09,1.09,49.18,1.09,4.37,209.83,0,3.28,4.37,0,0,9.84,0,0,6.56,0,13.11,0,3.28,5.46,0,0
108-118,0,0.77,15.32,2.3,2.3,65.11,3.83,3.83,5.36,37.53,1.53,1.53,1.53,2.3,0.77,0,0.77,0,37.53,0.77,13.02,244.34,2.3,2.3,2.3,0,1.53,8.43,0,1.53,14.55,0,9.96,2.3,2.3,9.19,0,0.77
120,0,0,17.64,1.96,0,84.27,9.8,7.84,0,50.95,5.88,3.92,3.92,0,0,0,1.96,0,58.79,0,13.72,446.83,5.88,1.96,1.96,0,1.96,17.64,0,1.96,3.92,0,27.44,1.96,0,11.76,1.96,0
