stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,7.39,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,5.64,0,4.83,0.81,0,0,4.03,0,1.61,65.26,0,0,0,0,0,5.64,0
 48-58,0,0,0,11.48,0,10.33,0.57,0,0,4.59,0,0,61.97,0,0,0,0,0,19.51,0.57
 60-70,0,0,0.98,8.83,0,1.96,0,0,0,4.91,1.96,0,17.67,0,0,0,0,0,7.85,0
 72-82,0,0,0,2.94,0,0,0,0,0.98,3.93,0,0,7.85,0,0,0,0,0,0.98,0
 84-94,0,0,0,5.31,0,0,0,0,0,5.31,1.06,0,7.43,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,2.19,0,0,6.56,0,0,0,0,0,0,1.09
108-118,0,0,0.77,1.53,0,0.77,0,0,0,0.77,0,0,4.6,0,0,0,0.77,0,0,0.77
120,0,0,0,5.88,0,3.92,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0
