stage,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,12.31,0,0
 36-46,0.81,0.81,0,0,0,0,0,0,0,3.22,0.81,0,0,9.67,0,0,0,12.09,0,1.61
 48-58,0,3.44,0,0.57,0,0,0,0,0,0.57,0.57,0.57,0.57,9.18,0,0,0,14.92,0,0
 60-70,0,5.89,1.96,0,0,0.98,0,0,0,0.98,0,0,0,25.52,0.98,0,0,13.74,0,2.94
 72-82,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,7.85,0,0,0,12.76,0,1.96
 84-94,1.06,3.19,0,0,0,0,2.12,0,0,0,0,0,0,8.5,0,1.06,0,37.17,1.06,0
 96-106,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0,0,3.28,0,0,0,33.88,0,0
108-118,0,1.53,1.53,0,1.53,0,0,2.3,0.77,1.53,0.77,0.77,0,4.6,0,0,0,27.57,0,0
120,5.88,1.96,0,0,1.96,0,0,0,0,0,0,0,0,11.76,0,0,0,29.4,0,0
