stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,224.02,3373.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,128.72,1789.85,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,30.65,73.56,0,0,0,0,0,0
  7-9,21.03,42.06,49.95,0,102.52,0,0,0,28.92,0,0,0,0,0,906.91,39.43,0,0,365.39,0,15.77,0,0,0,0,0
 10-12,0,18.88,12.59,0,22.03,0,0,0,9.44,0,0,0,0,0,267.49,12.59,0,0,78.67,0,9.44,0,9.44,0,0,0
 14-21,0,0,0,5,0,0,0,1,0,0,0,3,0,1,18,0,0,0,0,1,0,4,0,1,2,8
 24-34,0,0,0,0,0.82,0.82,0.82,0,0,0.82,0.82,1.64,0,0.82,9.03,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,3.22,0,0.81,0.81,0,3.22,0,0,2.42,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0,4.02,0.57,0,1.72,0,0,0.57,0,7.46,0,0,2.87,0,0,2.3
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,3.93,0,0,0,0,0,1.96
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,6.87,0,0,2.94,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,0,0,3.19,0,0,3.19,1.06,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,2.19,3.28,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,1.53,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
