stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
 24-34,0,0,4.93,0,0,0.82,0,0,0,0,0.82,0,0,0,0,2.46,0.82,0,0,1.64,0,0.82,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,0,16.11,0.81,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0.57,0.57,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,3.44,0,0
 60-70,0,0,1.96,0,16.69,0,0,0.98,0,0,0,0,0.98,0.98,0.98,31.41,0.98,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,18.65,0.98,0,1.96,0,0,0,0,2.94,0,0,13.74,0.98,0.98,0,1.96,0,0,1.96,0,0
 84-94,0,0,1.06,1.06,12.74,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,0,3.06,0,0,0,0.77,0.77,0.77,0,1.53,0,0,5.36,0.77,0,0,3.06,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,15.68,0,0,0,1.96,0,0,0,0,0
