stage,epidermis,erythrocytes,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0
 14-21,2,0,1,0,0,2,3,0,6,0,1,11,94,288,2,0
 24-34,0.82,0,0,0,0.82,0,0,6.57,0,0,0.82,0,6.57,96.86,1.64,0
 36-46,2.42,0,0,4.03,0.81,0,3.22,5.64,0,0,1.61,0,4.03,6.45,1.61,0
 48-58,0,0,0.57,2.87,0.57,0.57,9.75,2.3,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,2.94,0,0.98,7.85,4.91,0,0,0,0,0.98,0,0,0
 72-82,0,0,2.94,0.98,4.91,2.94,4.91,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,3.19,0,1.06,1.06,9.56,5.31,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,1.09,1.09,16.39,3.28,0,0,0,0,1.09,0,0,1.09
108-118,0,0.77,1.53,1.53,1.53,1.53,26.81,1.53,0,0,0,0,0,0,0,1.53
120,0,1.96,0,1.96,3.92,1.96,37.24,1.96,0,0,0,0,0,0,0,0
