stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,2,1,1,0,2,0,0
 24-34,0,0,0,0.82,0,0,4.1,0,0.82,0,5.75,0.82,0,0,0,0,0.82,0,0,2.46,146.93,1.64,0,0,0,0,0,0,30.37,0,0,0,0
 36-46,0,0,0,1.61,0,0,4.03,0,0.81,0,37.87,0,0,0,0,0.81,1.61,0,0,0.81,346.44,0,0,0,0,0,0,0,81.37,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,27.54,0,0.57,0,80.91,0.57,0,0,0,0,5.16,0,0,0.57,437.24,1.15,0,0,0,0,0,0,87.79,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,78.52,0,0.98,0.98,103.06,1.96,0,0,0,0,12.76,0.98,0,0.98,795.03,0,0.98,0,0,1.96,0,0,88.34,0,0,0,0.98
 72-82,0,0,0,3.93,1.96,0,103.07,0,0,0,102.09,0,0,0,0,0,31.41,0,0,0.98,683.24,0,1.96,0,0.98,0,0,0,53.01,0,0,0,0
 84-94,0,0,0,5.31,0,0,73.28,0,0,0,62.66,0,1.06,0,0,1.06,18.05,1.06,4.25,0,329.23,1.06,4.25,0,0,0,0,0,29.74,2.12,1.06,3.19,0
 96-106,0,0,0,2.19,0,0,49.18,0,1.09,0,62.29,0,1.09,0,2.19,1.09,13.11,0,1.09,1.09,307.09,0,7.65,0,0,1.09,0,0,19.67,1.09,0,2.19,0
108-118,0,0,1.53,4.6,0,0.77,51.32,0.77,0.77,0,53.62,0.77,0,0.77,0.77,0.77,10.72,0,0,0.77,283.41,0,3.06,0,0,0,0,0,13.79,0.77,1.53,1.53,0.77
120,0,0,0,3.92,0,0,64.67,0,1.96,0,64.67,0,1.96,0,0,1.96,5.88,0,0,0,388.04,0,0,0,0,0,0,0,23.52,0,0,0,0
