stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,8,0,2,0,0,59,1,0,0,0,0,0,0,3,0,0,2,34,1,1,3,5,0,1,26,1,1,117,0,0,1,0,0
 24-34,0,1.64,0.82,0,3.28,0.82,0.82,58.28,0.82,1.64,0.82,0,0,0,0,9.85,0,0.82,4.1,87.83,0.82,18.06,0,0,0,0,22.98,0,3.28,129.7,0,0,1.64,0,0
 36-46,0,0,0,0,4.03,0,3.22,61.23,0,1.61,0,0,0.81,0,0,8.06,0,0,2.42,81.37,0,26.59,1.61,0,0,0,12.89,0,0,128.91,0,0,0.81,0,0
 48-58,0,0,0.57,0,13.77,0,0,47.63,0.57,1.15,0,0,0,0.57,0,8.61,0,0,1.15,64.27,0,13.77,2.87,0,0,0,4.59,0,0,78.61,0,0,0,0,0
 60-70,0,0,0.98,0,15.7,0,1.96,43.19,0,0,0,0,0,2.94,0,13.74,0.98,0,2.94,43.19,0,30.43,2.94,0,0.98,0,3.93,0,0,55.95,0,0,0,0,0
 72-82,0,0,0,0,31.41,0,0.98,53.99,0,0.98,0,0,0,4.91,0,22.58,0,0.98,1.96,83.44,0,22.58,9.82,0,0,0,0.98,0,0,26.5,0.98,0,0.98,0.98,0
 84-94,2.12,1.06,2.12,0,13.81,0,3.19,35.05,3.19,1.06,0,0,0,0,1.06,16.99,0,0,0,24.43,0,14.87,14.87,0,0,0,6.37,0,0,22.3,0,1.06,0,1.06,0
 96-106,0,0,1.09,1.09,18.58,0,0,21.86,1.09,0,0,0,1.09,7.65,0,10.93,0,0,0,24.04,1.09,34.97,13.11,0,0,0,3.28,0,0,22.95,0,0,0,1.09,0
108-118,0.77,1.53,1.53,0,5.36,0.77,2.3,10.72,0.77,0,0.77,1.53,0.77,2.3,0,11.49,0.77,0,1.53,16.09,0.77,21.45,9.96,0,0,0,3.83,0,0,13.02,0,0.77,0.77,0,0.77
120,0,1.96,1.96,0,7.84,0,3.92,9.8,0,0,1.96,0,0,3.92,0,19.6,0,0,3.92,43.12,0,15.68,5.88,0,0,0,5.88,0,0,9.8,0,0,3.92,0,0
