stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,18,0,0,1,0,7,0,0,0,15,1,13
 24-34,0,0,0,0,0,0,6.57,0,0,0,0,4.93,0,0,0.82,4.1,0,13.13
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,3.22,0.81,0,0,4.03,0,8.06
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,3.44,0.57,0,0,0,0,4.02
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0.98,0,0,0,0,1.96
 72-82,0,0,0,0,0,0,3.93,0,0,0.98,0,1.96,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,0,1.06,0,0,3.19,2.12,0,5.31,0,1.06
 96-106,0,0,1.09,1.09,0,5.46,4.37,6.56,0,0,0,1.09,1.09,1.09,0,2.19,0,8.74
108-118,0,0,0.77,0,0,2.3,3.06,0.77,0.77,1.53,0.77,1.53,2.3,1.53,0,2.3,0,2.3
120,0,1.96,0,0,0,1.96,7.84,0,0,0,0,1.96,1.96,0,0,3.92,0,5.88
