stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,22,4,0,0,2,0,0,0,1,0,15,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0,1.64,206.03,0,3.28,0,0,0,1.64,0,0,0.82,59.1,0,4.93,0,0
 36-46,0,0,0,0.81,0,0,12.09,0,0,0,3.22,0,0.81,0,0.81,0,0,0,9.67,0,2.42,522.88,0,3.22,0,0,0,0,0,0,0,97.49,0,3.22,0,0
 48-58,0,0,0,2.87,0,0,45.9,0.57,0,0.57,5.16,0,0.57,0,0,0,1.15,0,13.2,0,0.57,745.95,0.57,0.57,1.15,0,0,1.15,0,0,1.15,114.19,0,1.15,0,0.57
 60-70,0,0,0,2.94,0.98,0,119.75,0,0.98,0,10.8,0,0,0,0,0,0.98,0,11.78,0,0.98,1082.62,0.98,0.98,1.96,0,0,0.98,0,0,0,118.76,0,0.98,0,0
 72-82,0,0.98,0,2.94,0.98,0,155.1,0,0,0.98,21.6,0,0,1.96,0,0,0,0.98,25.52,0,0.98,932.58,0,0,0.98,0,0,1.96,0,0,0,71.66,0.98,1.96,0.98,0
 84-94,0,0,0,5.31,0,0,75.4,0,0,0,21.24,0,0,0,0,1.06,0,0,18.05,0,2.12,431.19,0,1.06,0,0,0,5.31,0,0,0,35.05,0,1.06,0,0
 96-106,0,0,0,3.28,0,0,72.13,0,1.09,2.19,16.39,0,1.09,0,2.19,1.09,2.19,0,9.84,1.09,1.09,347.53,0,1.09,1.09,0,1.09,0,0,0,0,16.39,1.09,0,0,0
108-118,0,0,0.77,4.6,0,0.77,65.11,0,0,0.77,13.79,0.77,0,0.77,1.53,0.77,0,0,11.49,0,1.53,369.19,0,0.77,1.53,0,0,1.53,0,0,0,10.72,0.77,0,0,0
120,0,0,0,9.8,0,0,92.11,0,0,0,5.88,0,0,1.96,5.88,0,0,0,11.76,0,1.96,517.38,0,0,0,0,0,1.96,1.96,0,0,9.8,0,1.96,0,0
