stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,31,3,1,0,0,0,4,1,2,0,2,26,0,0,0,0,0
 24-34,0,1.64,0.82,1.64,0,6.57,0,0,0,0,0,0,2.46,0,1.64,0,0.82,0,1.64,3.28,0.82,0,1.64,199.47,0.82,1.64,0.82,0,0,21.34,0,1.64,0,0.82,79.62,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,11.28,0,0,0.81,0.81,0,0,0.81,0,0,0,0.81,0,4.83,1.61,0.81,0.81,1.61,320.66,0,4.83,0,0,0,16.11,0,0,0,0,93.46,0,0,7.25,0,0
 48-58,0,0,2.3,0.57,0,65.99,0.57,0,0.57,9.75,0.57,0,0.57,0.57,0,0.57,0.57,1.15,1.72,4.59,0.57,0.57,0.57,309.85,0,3.44,0,0,0,14.35,0,0,0,0,82.63,0,0,1.72,0,2.3
 60-70,0,1.96,3.93,0.98,0,231.64,1.96,0,0,18.65,0.98,0,0,0.98,0.98,0,0,0,2.94,14.72,0.98,0,0,579.1,0.98,4.91,1.96,0,0,9.82,0,0.98,0,0,73.61,1.96,0,0.98,0,1.96
 72-82,0,1.96,2.94,5.89,0,287.63,0.98,0,0.98,41.23,3.93,0,0.98,4.91,0.98,0,4.91,0.98,0,17.67,1.96,1.96,5.89,410.33,0,8.83,0.98,0,0,13.74,0,0.98,0,0,37.3,9.82,0.98,11.78,0.98,0
 84-94,0,4.25,10.62,4.25,1.06,164.62,0,1.06,0,15.93,6.37,1.06,0,4.25,1.06,1.06,2.12,4.25,0,11.68,2.12,2.12,2.12,214.53,0,5.31,5.31,0,0,35.05,0,1.06,0,0,20.18,7.43,0,6.37,1.06,0
 96-106,0,1.09,15.3,7.65,0,139.88,0,1.09,1.09,29.51,8.74,0,1.09,10.93,5.46,0,4.37,3.28,1.09,21.86,1.09,1.09,0,182.51,0,7.65,0,0,2.19,37.16,0,1.09,0,0,12.02,13.11,3.28,6.56,3.28,4.37
108-118,0,2.3,13.79,5.36,3.06,98.81,0,1.53,2.3,18.38,1.53,0,0,6.13,4.6,2.3,1.53,3.06,1.53,16.09,0.77,1.53,1.53,182.3,0,5.36,3.06,0,0,22.98,0,0.77,0.77,0,8.43,14.55,0,8.43,0.77,0
120,0,0,9.8,0,0,90.15,0,0,0,17.64,5.88,0,0,1.96,0,1.96,1.96,0,0,17.64,0,0,3.92,176.38,1.96,1.96,3.92,0,0,21.56,0,0,0,0,13.72,1.96,0,9.8,0,0
