stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,62,0,0,0,1,0,2,2,0,0,2,26,0,0,0,0,0
 24-34,0,0.82,4.93,0,0,13.13,0,0,0,0.82,0.82,0,0.82,0,1.64,0,0,0,0.82,13.13,0.82,0,4.1,209.32,1.64,6.57,0,0,0.82,4.93,0,0.82,0,1.64,73.06,0,0,6.57,0,1.64
 36-46,0,0,1.61,0.81,0,36.26,0,0,0.81,6.45,0,0,0,0,0.81,0,0.81,0,0,10.47,0,0,2.42,315.82,0.81,3.22,0,0,0,1.61,0,0,0,0,79.76,0,0,1.61,0,0
 48-58,0,0,1.15,0,0,71.15,0,1.15,0,13.2,0,0,0.57,0,0,0,0,0,0.57,19.51,1.15,0,2.87,337.97,0,1.15,0,0,0.57,2.3,0,0,0.57,0,79.76,0,0.57,1.72,0,1.72
 60-70,0.98,0,2.94,0,0,98.15,0,0,0,13.74,0,0.98,1.96,0.98,0,0.98,0,0.98,0,14.72,0,0.98,0.98,388.68,0.98,2.94,0,0,0,5.89,0,0,0,0,45.15,0,0,0,0,0.98
 72-82,0,0,8.83,0,0,178.66,0.98,0,1.96,13.74,0,0,0,0,0,1.96,0,0,0.98,41.23,0,1.96,3.93,434.88,0.98,3.93,0.98,0,0,4.91,0,0.98,0.98,0,28.47,1.96,0.98,5.89,0.98,0
 84-94,0,0,7.43,2.12,0,134.88,0,1.06,0,13.81,1.06,0,0,2.12,1.06,0,1.06,0,0,14.87,0,1.06,3.19,216.66,1.06,2.12,0,0,0,10.62,0,0,0,0,24.43,1.06,1.06,3.19,2.12,1.06
 96-106,0,0,7.65,2.19,0,126.77,0,0,0,9.84,3.28,0,1.09,5.46,1.09,0,1.09,1.09,1.09,18.58,0,2.19,1.09,221.85,1.09,5.46,2.19,0,0,14.21,0,1.09,0,0,12.02,0,2.19,1.09,1.09,0
108-118,0,0,12.26,0.77,1.53,88.85,0.77,0.77,0.77,19.15,0.77,0,0,3.06,2.3,0,0,0,0.77,18.38,0.77,0,0.77,263.49,0,2.3,0.77,0,0.77,6.13,0,0.77,0.77,0,9.19,1.53,0.77,2.3,0.77,0.77
120,0,0,7.84,3.92,0,109.75,0,0,3.92,23.52,0,0,0,3.92,1.96,0,0,3.92,1.96,13.72,1.96,1.96,3.92,348.84,0,1.96,0,0,1.96,3.92,0,3.92,0,0,19.6,0,0,3.92,0,0
