stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
 24-34,0,0.82,3.28,0,3.28,2.46,1.64,0.82,3.28,0,0,0.82,0,0,0,0.82,0,3.28,19.7,0.82,0.82,0,0,0.82,0,0,3.28,8.21,1.64,0,0,0,0
 36-46,0,0,1.61,0.81,0.81,5.64,0,0.81,0,0,0,0.81,0,0,0,4.03,0,4.03,17.72,0,0,0,0,0,0.81,0,7.25,1.61,1.61,0,0,0,0
 48-58,0,0,0,0,5.16,6.89,0,1.72,1.15,0,0,0,0,0,0,10.33,0,2.3,45.33,0,0,0,0,0,0,0,3.44,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,3.93,6.87,0,0.98,0,1.96,0,1.96,0,0,0.98,19.63,0,4.91,60.85,0.98,0,0,0,0,0.98,0,2.94,0,1.96,0,0,0,0
 72-82,0,0,0,0,4.91,1.96,0,0,5.89,0,0,0,0,0,0.98,24.54,0,2.94,61.84,0,0,0.98,0,0,0,0,1.96,0,1.96,0,0,0.98,0
 84-94,0,0,2.12,0,2.12,8.5,1.06,2.12,0,0,0,0,0,0,0,15.93,1.06,1.06,21.24,1.06,0,2.12,0,0,0,0,1.06,0,1.06,0,0,1.06,0
 96-106,0,0,2.19,0,2.19,7.65,0,1.09,0,1.09,0,1.09,0,0,0,30.6,0,1.09,22.95,0,0,2.19,1.09,1.09,1.09,0,4.37,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0.77,4.6,10.72,0,0.77,1.53,0,0,0.77,0.77,0.77,0.77,19.92,0,3.83,18.38,0,0,2.3,0,0,0.77,0,5.36,0,0,0.77,0,0,0
120,0,0,1.96,1.96,1.96,15.68,0,0,1.96,0,0,0,0,0,0,15.68,1.96,3.92,5.88,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0
