stage,epidermis,eye,glial,immune,ionocyte,mesenchyme,neural,notochord,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,2,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,13.95,0,0,0,4.93,0.82
 36-46,0,0.81,0,0,0,0.81,39.48,0,0,1.61,6.45,2.42
 48-58,0,3.44,0,0,0,0,39.02,0,0,0.57,4.59,0
 60-70,0.98,11.78,0,0.98,0,0,43.19,0,0.98,0.98,7.85,0
 72-82,0,11.78,3.93,0,0,0,28.47,0,0,0.98,1.96,0
 84-94,0,3.19,0,0,1.06,0,14.87,1.06,0,3.19,0,0
 96-106,0,0,0,0,0,2.19,7.65,0,1.09,2.19,0,0
108-118,0,2.3,0,0,0,0,5.36,0,0,0,0,0
120,0,0,0,1.96,0,0,21.56,0,0,0,0,0
