stage,endocrine.pancreas,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,presomitic.mesoderm,somites,spinal.cord
  5-6,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0.82,26.27,0,0,0,0,0,0,4.1
 36-46,0,0,2.42,0,0.81,0,0,0,0.81,0,57.2,0,0,0,0,0,0,12.09
 48-58,0,0,8.03,0,1.72,0,0,0.57,1.15,0,57.95,0,0,0,0,0,0,8.61
 60-70,0,0,15.7,0,1.96,0,0,0,2.94,0,100.12,0,0,0,0,0,0,14.72
 72-82,0,0,20.61,0,5.89,0,0,0,2.94,0.98,108.96,0,0,1.96,0,0,0,6.87
 84-94,1.06,1.06,16.99,0,11.68,0,0,0,8.5,1.06,59.47,0,1.06,0,0,0,0,7.43
 96-106,0,0,7.65,0,12.02,1.09,0,0,5.46,0,56.83,0,2.19,0,1.09,0,0,5.46
108-118,0,0,13.02,0,6.89,0,0.77,0,2.3,0,48.26,0,0,0,0,0,0,4.6
120,0,0,5.88,0,1.96,0,0,0,3.92,0,41.16,0,0,1.96,0,0,0,0
