stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,2.63,5.26,5.26,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,42.06,2.63,0,0,5.26,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,34.62,0,3.15,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,17,0,0,0,0,0,0,6,1
 24-34,0,0,0,0,0,5.75,0,0.82,0,0,0,0,0,0,3.28,0,0,2.46,31.19,0,0,2.46,0,1.64,0,8.21,0
 36-46,0,0,0,0,0,3.22,0,1.61,0,0,0,0,0,0,2.42,0,0,2.42,22.56,0,0.81,0.81,0,0,0,10.47,0
 48-58,0,0,0,0.57,0,10.33,0,1.15,0,0,0,0,0,0,0.57,0.57,0,1.15,22.95,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,7.85,0,1.96,0,0,0,0,0,0.98,3.93,0,0,0,32.39,0,0,0,0,0,0,7.85,0
 72-82,0,0,0,0.98,0,7.85,0.98,1.96,0.98,0,0,0,0,0,6.87,0,0.98,1.96,22.58,0,0,0,0,0,0,2.94,0.98
 84-94,0,0,0,0,2.12,4.25,0,1.06,0,0,0,0,0,0,3.19,0,0,0,13.81,0,0,1.06,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,2.19,0,3.28,0,0,0,0,1.09,0,3.28,0,0,0,8.74,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0.77,0.77,6.13,0.77,3.83,0.77,0,0.77,0,0,0,3.83,0,0,0.77,14.55,0,0,1.53,0,2.3,0,0,0
120,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,3.92,0,0,1.96,19.6,0,1.96,0,0,1.96,1.96,0,0
