stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,31.47,3.15,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,1,0,0,1,0,0,0,0,1,0,4,8,1,0,2,0,2,4,0,1,0,3,0,0
 24-34,0,0,0,0,0.82,1.64,0,0.82,0,0,0,0,0,1.64,0,0.82,9.03,0,0,0,0,0.82,0,0.82,0,0,2.46,0.82,0
 36-46,0,0,0,2.42,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,15.31,0,0,0,0,1.61,0,0,0,0.81,2.42,0,0
 48-58,0,0,0,0.57,0,2.87,0,1.15,0.57,0,0,0,0,1.15,0,0.57,15.49,0,0,0,0,0.57,0,0,0,0,5.16,0,0
 60-70,0,0,0,1.96,0,4.91,0,0.98,0,0,0.98,0,0,2.94,0,0,12.76,0,0.98,0,0,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,2.94,0,1.96,0.98,0,0,0,0.98,2.94,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,3.19,0,0,2.12,1.06,0,0,0,1.06,1.06,0,6.37,0,0,0,0,4.25,0,1.06,0,0,0,0,0
 96-106,0,0,0,5.46,0,5.46,1.09,0,2.19,0,0,0,1.09,0,0,0,8.74,1.09,0,0,0,4.37,0,0,0,0,1.09,0,1.09
108-118,0,0,0,1.53,0,1.53,0.77,0,5.36,0,0,0,0.77,0.77,0,0.77,7.66,0,0.77,0,0,3.06,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,1.96,3.92,3.92,0,1.96,5.88,0,0,0,0,3.92,0,0,0,0,0,0,0
