stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
