stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,otic,slow.muscle,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,0,0,8.21,0,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,25.78,0.81,0,0,2.42,0,0
 48-58,0,0,0.57,0,0.57,28.12,0,0.57,0,4.59,0,0
 60-70,0,0,7.85,0.98,0,45.15,0,0.98,0,4.91,0,0
 72-82,0,0.98,9.82,0.98,0.98,27.49,0,0,0,3.93,0.98,0
 84-94,0,1.06,8.5,1.06,0,11.68,0,1.06,1.06,0,0,0
 96-106,0,0,8.74,2.19,0,8.74,1.09,0,0,0,0,0
108-118,0,0,5.36,0,0,13.02,0,0,0,0,0,0.77
120,0,0,0,1.96,0,15.68,0,1.96,0,1.96,0,0
