stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,6.29,3.15,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,16,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,24,3,0,0,0,1,0,0,0,3,9,0,0,0,0
 24-34,0,0,1.64,0.82,4.1,0,0,5.75,0,0.82,0,2.46,0,0,0.82,0,0.82,0,0.82,0,0,12.31,0.82,0,1.64,67.31,0.82,1.64,2.46,0,9.03,0,0.82,0.82,2.46,18.88,0,0,5.75,0
 36-46,0,0,0,0,4.03,0,0,14.5,0,0.81,1.61,4.03,0,0,0,0,0,0,0,0,0,6.45,0,0,4.03,68.48,0,3.22,0.81,0,4.03,0,0,0,0,20.95,0,0,0.81,0
 48-58,0,0,0.57,0,1.72,0,0,22.95,0.57,0.57,0.57,6.89,0,0,1.15,0,0,0,0,0,0,12.62,0.57,0,1.15,56.81,1.15,0.57,0.57,0,2.87,0,0,0.57,0,10.33,0,0,2.3,0
 60-70,0,0,0,0,1.96,0,0,48.09,0.98,0.98,0.98,5.89,0,0,0,0,0,0,0,0,0.98,10.8,0,0,1.96,43.19,0.98,0.98,0.98,0,2.94,0,0,0,0,5.89,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,34.36,0.98,0.98,0,4.91,0,0,0,0.98,0.98,0,0,0.98,0,22.58,0.98,0,2.94,37.3,0.98,2.94,0,0,4.91,0,0,0,0,3.93,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,1.06,3.19,0,25.49,0,0,1.06,5.31,1.06,0,0,2.12,0,1.06,0,1.06,0,22.3,1.06,0,1.06,22.3,0,0,1.06,0,5.31,0,0,0,0,4.25,0,2.12,1.06,0
 96-106,0,0,1.09,0,3.28,2.19,0,21.86,0,0,0,5.46,2.19,0,0,2.19,1.09,0,1.09,0,1.09,14.21,0,1.09,1.09,18.58,0,2.19,1.09,0,5.46,0,0,0,0,2.19,0,0,4.37,1.09
108-118,0,0,2.3,0,2.3,2.3,0.77,11.49,0,1.53,0.77,4.6,1.53,0,0,0.77,1.53,0.77,0,0.77,0,6.13,0,0.77,0.77,21.45,0,0.77,2.3,0,3.06,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,5.88,0,1.96,11.76,0,0,0,1.96,1.96,0,0,0,1.96,1.96,0,0,0,5.88,0,0,0,11.76,0,0,1.96,0,5.88,0,1.96,0,0,0,1.96,0,0,0
