stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vasculature
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,1,13,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,29.55,0,0,2.46,0,0,27.91,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,1.61,0,0,0,17.72,0.81,0,0,0,0,26.59,0,0
 48-58,0,0,0.57,0,1.15,0,0.57,0,0,0,0,0.57,0,0.57,0.57,13.2,0,0,0,0,0,11.48,0,0
 60-70,0,0,0.98,0,4.91,0,0.98,0,0,0,0,2.94,0.98,0,0.98,24.54,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,1.96,0.98,0,0.98,0.98,0,0,1.96,0,0,0.98,37.3,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,5.31,0,0,0,21.24,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,2.19,0,0,0,20.76,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0,6.13,0.77,0,0,0.77,0,0,0,16.85,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,17.64,0,0,0,0,0,0,0,0
