stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,5.26,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,28.32,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,14,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,16,0,0,9,291,12,0,0,5,0,2,0,14,0,0,36,67,0,0,1,0,6
 24-34,0,0.82,0,4.1,0.82,0,27.91,0.82,1.64,6.57,20.52,0,0,3.28,0,0.82,0.82,0.82,2.46,20.52,48.43,0.82,0,49.25,1531.72,6.57,2.46,0.82,0,0,2.46,0,0.82,0,6.57,20.52,288.94,0,0,5.75,0,39.4
 36-46,0,0,0,0.81,0,0,54.79,0.81,0.81,39.48,98.29,0,0,0.81,0,0,1.61,0.81,0,8.06,107.96,0,2.42,64.45,1718.49,2.42,2.42,0.81,0,0.81,5.64,0,0,0,8.06,2.42,430.23,0,0.81,2.42,0,33.03
 48-58,0,0,0,2.87,0,0,185.91,1.15,1.72,49.35,162.39,0,1.15,0.57,1.15,0,1.15,0,0,10.33,112.47,0,5.16,44.18,893.99,0.57,1.15,1.15,0,0.57,2.3,0,0,0,5.16,0,217.47,0,0.57,5.16,0,26.4
 60-70,0,0.98,0,2.94,0,0,566.34,5.89,2.94,52.02,143.3,0.98,0,0.98,1.96,0.98,3.93,0,0,3.93,230.66,0,2.94,51.04,937.35,0,3.93,1.96,0,8.83,4.91,0,0,1.96,6.87,0,178.64,0,4.91,3.93,0,22.58
 72-82,0,0.98,0,11.78,0.98,0,446.66,2.94,0.98,65.77,158.05,5.89,0,0,7.85,0.98,9.82,0,0,6.87,315.11,0,9.82,61.84,725.45,0,0,0.98,0.98,11.78,1.96,0,0,0,1.96,0,78.53,0,7.85,9.82,9.82,17.67
 84-94,0,1.06,0,13.81,0,0,320.74,8.5,1.06,54.16,113.64,1.06,0,2.12,21.24,3.19,4.25,0,0,15.93,191.17,0,18.05,44.61,371.71,0,1.06,5.31,0,4.25,5.31,0,0,0,5.31,0,38.23,0,2.12,4.25,4.25,20.18
 96-106,0,1.09,0,15.3,4.37,0,207.64,3.28,2.19,41.53,92.89,4.37,0,1.09,17.49,4.37,2.19,0,0,9.84,205.46,0,13.11,26.23,322.39,0,0,2.19,0,10.93,4.37,0,0,1.09,2.19,0,6.56,1.09,3.28,4.37,7.65,21.86
108-118,0,0.77,0,9.96,2.3,3.06,145.53,4.6,2.3,42.13,95.75,5.36,0,0,19.92,1.53,9.19,0,1.53,13.79,165.45,1.53,6.13,31.4,314.04,0,1.53,2.3,0,15.32,4.6,0,0,0.77,4.6,0,12.26,0.77,2.3,3.06,2.3,19.15
120,0,0,0,9.8,3.92,0,99.95,3.92,3.92,31.36,66.63,0,0,0,23.52,0,0,3.92,0,5.88,162.66,0,5.88,29.4,301.81,0,0,0,0,15.68,3.92,0,0,0,0,0,9.8,0,3.92,5.88,1.96,5.88
