stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,3017.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,288.09,4468.5,0,24.52,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,153.24,18.39,0,0,55.17,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,105.15,102.52,0,231.33,0,2.63,289.16,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,2980.96,136.69,0,0,1154.01,0,5.26,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,72.38,0,220.29,0,22.03,201.41,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,1711.95,69.23,0,0,579.04,0,6.29,22.03,3.15,91.26,0,6.29,6.29,0,0,0,0,0
 14-21,0,1,0,9,102,19,28,0,1,0,35,6,0,1,0,1,0,0,0,0,77,0,0,48,957,17,20,27,31,0,3,1,88,22,0,37,383,0,0,2,0,0
 24-34,0,0,0,3.28,30.37,1.64,119.02,0,1.64,0,35.3,1.64,0,0,0,0.82,0,1.64,1.64,0.82,139.55,3.28,1.64,42.68,1328.15,3.28,33.66,24.63,0,0,20.52,0,0.82,2.46,0.82,13.13,358.71,0,0,12.31,0,0
 36-46,0,0,0.81,0,17.72,1.61,287.62,0,0,2.42,38.67,1.61,0,1.61,0.81,0,0,2.42,1.61,0,157.91,1.61,1.61,33.03,1045.76,3.22,25.78,4.83,0,0,8.86,0,0,2.42,0,0,285.21,0,0,8.86,0.81,0
 48-58,0,0,0,0,15.49,1.72,471.09,0.57,0,0.57,26.97,0,0.57,0.57,0.57,0.57,0.57,1.72,0.57,0,179.6,0,6.31,25.25,649.55,0.57,13.77,2.87,0,0.57,4.02,0,0.57,0,0,0,121.65,0,0,5.16,0,1.15
 60-70,0,0,0,0,13.74,3.93,338.63,0,1.96,0,34.35,3.93,0,0.98,0.98,0.98,2.94,3.93,1.96,0,160.97,0,12.76,13.74,384.76,1.96,11.78,1.96,0,0.98,2.94,0,0,0,0,0,44.17,0,0.98,2.94,0,0.98
 72-82,0,0,1.96,0,18.65,0,170.81,0,0.98,3.93,34.36,3.93,0,0.98,1.96,0.98,0,3.93,0,0.98,141.36,0,7.85,13.74,219.89,0,29.45,4.91,0,0,2.94,0,0,0.98,0,0,12.76,1.96,0.98,9.82,2.94,0.98
 84-94,0,0,3.19,0,23.36,3.19,131.69,0,1.06,2.12,13.81,4.25,0,1.06,6.37,0,4.25,1.06,1.06,0,106.2,0,13.81,14.87,148.69,0,15.93,6.37,0,1.06,7.43,0,0,2.12,0,0,6.37,4.25,2.12,10.62,1.06,1.06
 96-106,0,0,3.28,0,13.11,3.28,68.85,1.09,2.19,0,24.04,5.46,0,4.37,6.56,1.09,0,2.19,0,0,67.76,0,4.37,8.74,126.77,0,27.32,6.56,0,0,2.19,0,0,5.46,0,0,4.37,2.19,0,3.28,1.09,0
108-118,0,0,0.77,0,10.72,8.43,68.94,0,0.77,2.3,16.85,3.06,0,0,3.83,0,2.3,0.77,1.53,0,62.04,0,1.53,6.13,169.28,0.77,16.09,5.36,0,0.77,4.6,0.77,0,3.83,0,0,6.13,0,0,6.89,0,0
120,0,0,0,1.96,11.76,3.92,80.35,0,0,1.96,17.64,0,0,1.96,7.84,0,0,0,0,0,47.03,0,1.96,5.88,143.06,0,13.72,3.92,0,0,1.96,0,0,1.96,0,0,3.92,3.92,0,1.96,0,0
