stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,0,198.26,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,648.28,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,3,9,0,0,0,6,0,1,0,0,0,0,0,0,0,8,0,0,3,725,1,0,0,1,1,2,1,1,0,54,0,1,0
 24-34,0,0,0.82,16.42,0,11.49,0,0,0,12.31,0.82,0.82,0,0,1.64,0,0,0,0,8.21,0,0,4.1,838.91,0.82,0.82,0,0,0.82,0,0.82,1.64,0.82,137.9,0,1.64,0
 36-46,0,0,0,4.83,0.81,13.7,0,0,0,12.09,0,0,0,0,0,0,0,0,0.81,4.03,0,0,4.03,779.08,2.42,0.81,0.81,0,0.81,0,0,0,0.81,84.6,0,0.81,0
 48-58,0,0,0.57,4.59,0.57,28.12,0,0,0.57,28.12,0,0,0,0,0,0.57,0.57,0.57,0,4.59,0,0,0,619.14,0,0,0.57,0,1.72,0,0,0,0,30.41,0,0,0
 60-70,0,0,0.98,0.98,0,20.61,0,0,0,56.93,0,0,0,0,0,0,0,0,0,7.85,0,0,0,481.93,0,0,0,0,0,0,0,0,0,12.76,0,0,0
 72-82,0,0,1.96,4.91,0.98,34.36,0,1.96,0,68.72,0,0,0,0.98,0,0,0,0,0,10.8,0,0.98,0.98,428,0,0,0.98,0,0.98,0,0,0,0,1.96,0,1.96,0.98
 84-94,0,0,3.19,12.74,0,67.97,0,2.12,1.06,57.35,2.12,0,0,0,0,1.06,0,0,0,14.87,0,0,1.06,336.67,0,0,1.06,0,2.12,0,0,0,0,15.93,1.06,0,0
 96-106,0,0,2.19,10.93,1.09,42.62,1.09,1.09,0,49.18,0,0,0,1.09,0,0,0,0,0,7.65,2.19,1.09,1.09,289.6,0,0,0,0,1.09,0,0,0,0,4.37,0,1.09,0
108-118,0,0,9.19,3.83,0,7.66,0,0.77,0.77,52.85,0,0,0.77,0.77,0,0.77,0,0,0,6.13,0,0,0,335.49,0,1.53,0,0,0,0,0.77,0,0,1.53,0,0,0
120,0,0,1.96,7.84,0,31.36,1.96,1.96,0,62.71,0,0,0,1.96,0,0,0,0,0,0,0,0,0,360.6,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0
