stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,39.53,0,0
  5-6,36.78,668.13,6.13,0,0,0,0,6.13,0,0,6.13,24.52,0,0
  7-9,18.4,2.63,31.54,15.77,0,5.26,0,218.18,15.77,0,118.29,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,34.62,6.29,0,15.73,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06
108-118,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0
