stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0
 24-34,0,0,0.82,0,7.39,0,0,0,0,0.82,0,0,0,0,2.46,0,0,0,30.37,0,0,8.21,6.57,0,0.82,0,0.82,0,37.76,0,0
 36-46,0,0,4.03,0,9.67,0,0,0.81,0,1.61,0,0.81,0,3.22,1.61,0,0,0,20.95,0,0.81,6.45,12.09,0,0,0,3.22,0,39.48,0,0.81
 48-58,0,0,1.15,0,10.9,0,0.57,0,0.57,0.57,0,0,0.57,1.15,2.3,0,0,0.57,21.23,0,0,10.33,6.31,0,1.15,0,1.72,0,41.89,0,0
 60-70,0,0,0.98,0.98,4.91,0,0.98,2.94,0,0.98,0,0.98,0,5.89,2.94,0.98,0,0,20.61,0.98,0,8.83,10.8,0,0.98,0,1.96,0,36.32,0,0
 72-82,0,0,0,0,15.71,0,0,14.72,0,4.91,0,0,0,12.76,2.94,0,0,0,21.6,0.98,0,30.43,12.76,0,0,0,0.98,0,68.72,0,0
 84-94,0,0,5.31,0,16.99,1.06,2.12,3.19,0,1.06,0,1.06,0,5.31,6.37,0,0,0,6.37,1.06,0,28.68,22.3,0,2.12,0,0,0,52.04,2.12,0
 96-106,0,0,4.37,2.19,15.3,2.19,2.19,7.65,0,1.09,1.09,0,0,24.04,5.46,0,1.09,0,7.65,0,0,42.62,20.76,0,2.19,0,0,0,67.76,3.28,0
108-118,0,0,9.96,0.77,21.45,0.77,3.06,9.96,0,0.77,0.77,0.77,0,12.26,3.83,0,0,1.53,12.26,1.53,0.77,27.57,11.49,0.77,0.77,0,0.77,0.77,32.94,0,0
120,0,0,3.92,3.92,7.84,0,0,0,1.96,1.96,0,0,0,17.64,3.92,0,1.96,0,9.8,0,3.92,27.44,7.84,0,0,0,0,0,41.16,0,0
