stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,81.49,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,69.23,339.87,0,0,22.03,0,0,0,0,0,18.88,0,0,0,0
 14-21,0,0,2,12,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0,18,50,410,0,0,2,0,0,19,0,475,1774,59,0,0,0
 24-34,0,0,0,4.93,0,8.21,65.67,0.82,0,0,0.82,0,0,0,0.82,0,0,0.82,5.75,0,0,29.55,73.88,52.53,4.1,0.82,0.82,0,1.64,1.64,0,151.04,664.07,55,0,1.64,0.82
 36-46,0,0,0,0,0,5.64,53.98,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,13.7,37.87,18.53,0,0,0,0,0,0,0,56.4,31.42,15.31,0,0,1.61
 48-58,0,0,0,0,0.57,9.75,24.67,0,0.57,1.15,0,0,0,0.57,0,0,1.15,0,1.15,0,0,26.4,24.1,2.3,0,0,0,0,0.57,0,0,21.23,0,14.92,0,0,0
 60-70,0,0,0,0.98,0,7.85,38.28,0,0,3.93,0,0,0,0,0,0.98,0,0.98,5.89,0,0,24.54,22.58,0.98,0,0.98,0,0,0,0,0,10.8,0,8.83,0,0,0
 72-82,0,0,0,0,0,10.8,25.52,0,0,7.85,0,0,0,0,0,0.98,5.89,0,10.8,0,0,24.54,30.43,0.98,0,0,0,0,0.98,0,0,5.89,0,6.87,0,0,0
 84-94,0,0,0,1.06,0,9.56,38.23,0,1.06,1.06,1.06,0,1.06,0,0,1.06,8.5,0,7.43,0,0,30.8,25.49,0,1.06,1.06,0,0,1.06,0,0,10.62,0,4.25,0,0,0
 96-106,0,0,0,1.09,1.09,7.65,39.34,1.09,0,4.37,2.19,0,0,0,0,0,14.21,0,9.84,1.09,1.09,38.25,31.69,1.09,1.09,2.19,0,0,3.28,0,0,19.67,0,5.46,1.09,1.09,0
108-118,0,0,0,0.77,2.3,3.83,55.92,0.77,0,2.3,2.3,0,2.3,0,0.77,1.53,24.51,0,10.72,0,0,45.19,25.28,0.77,0,1.53,0,0.77,0.77,0,0.77,18.38,0,4.6,0.77,0,0
120,0,0,0,3.92,1.96,9.8,47.03,0,0,5.88,1.96,0,1.96,0,0,0,11.76,0,9.8,0,0,56.83,27.44,0,0,3.92,0,0,1.96,0,0,7.84,0,3.92,0,1.96,0
