stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0.82,0,27.91,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0.81,1.61,31.42,0,0
 48-58,0,0,0,1.72,0,0.57,0,0,0.57,0,0,0,2.87,1.15,30.99,0.57,0
 60-70,0,1.96,0.98,1.96,0.98,0.98,0,0.98,0,0,0.98,0,2.94,0,39.26,0,0
 72-82,0,0,0,2.94,0,0.98,0,1.96,0.98,0.98,0,0,3.93,0.98,40.25,0.98,0.98
 84-94,0,3.19,0,1.06,1.06,1.06,0,6.37,0,0,3.19,0,1.06,2.12,163.55,0,0
 96-106,0,9.84,1.09,3.28,3.28,1.09,0,7.65,5.46,0,3.28,0,6.56,7.65,244.8,1.09,0
108-118,0,8.43,0,0,0.77,0,0,3.83,1.53,1.53,0.77,0,1.53,4.6,97.28,0,0
120,0,5.88,0,0,0,0,1.96,7.84,0,0,0,0,5.88,1.96,119.55,0,1.96
