stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,5.64,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,0,0.57,11.48,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0.98,0,6.87,0,0,0,0,0,2.94,0.98,0,0,42.21,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,10.8,0,2.94,0,0.98,0,2.94,0.98,0,0,52.03,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,19.12,0,1.06,0,0,0,3.19,0,0,0,28.68,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,13.11,1.09,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,15.32,0,1.53,0,0,0,5.36,0.77,0.77,0,22.21,0,0.77,0,0,0,0.77,0,0.77,0,0
120,0,0,1.96,1.96,52.91,0,1.96,0,0,0,0,1.96,0,0,119.55,0,1.96,0,0,1.96,0,0,1.96,0,1.96
