stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,9.44,0,0,0,0,0
 14-21,0,1,2,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0
 24-34,0,0.82,0,0,0.82,0.82,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,2.42,0,0,0,0,7.25,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.72,0,1.15,0,0,0,0,2.87,1.15,0.57,5.74,0,0,0,0,0,1.15,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,8.83,0,0,5.89,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,1.96,0,0.98,0.98,0,30.43,0.98,0.98,10.8,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,1.06,0,3.19,3.19,1.06,1.06,0,3.19,1.06,21.24,0,0,5.31,0,0,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,1.09,0,0,2.19,1.09,1.09,0,2.19,0,40.44,0,0,4.37,0,2.19,0,0,0,0,1.09,0,3.28
108-118,0,0.77,0.77,0,3.83,0.77,0.77,0,0,0,0,39.06,1.53,0.77,8.43,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,0,48.99,1.96,3.92,13.72,0,1.96,0,0,0,0,0,0,7.84
