stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1,34,1,1,3,0,4,0,0,0,0,1,3,0,0,61,4,29,2,0,4,30,0,0
 24-34,0,6.57,0.82,0.82,8.21,0,1.64,0,0,0,0,0,5.75,0.82,2.46,53.36,0,20.52,0,0,2.46,9.85,0,0
 36-46,0,4.03,0,0,1.61,2.42,2.42,0,0,0,0,1.61,4.03,0,0,24.17,0,14.5,0,0,0,9.67,0,0
 48-58,0,1.15,0,1.15,3.44,1.72,1.72,0,0,0,0,0.57,5.74,0,0.57,8.61,0,3.44,0,0,0,4.59,0,0
 60-70,0,0,0,3.93,2.94,2.94,0.98,0,0,0,0,0,8.83,0,0,5.89,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0.98,0.98,0,0.98,0,0,0,5.89,0,0,7.85,0,0.98,0,0,0,1.96,0.98,0
 84-94,0,1.06,0,0,2.12,1.06,0,0,0,0,0,0,4.25,0,0,2.12,0,3.19,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,3.28,1.09,0,0,0,0,2.19,2.19,0,0,0,0,0,4.37,0,0,0,0,0,0
108-118,0,0.77,0.77,0,6.13,0,0.77,0,0,0.77,0,0,4.6,0,0,2.3,0,2.3,0,0.77,0,0,0.77,0
120,0,0,0,0,3.92,1.96,0,1.96,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
