stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,21.03,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,157.72,13.14,0,0,47.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,12.59,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,185.67,6.29,0,0,56.65,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,2,0,13,4,0,0,0,61,0,0,0,0,0,0,0,0,7,0,0,2,42,1,3,10,6,0,1,1,65,1,195,0,0,0
 24-34,0,0,1.64,0.82,6.57,0,7.39,0,0.82,58.28,0,0,0,0,0.82,0,1.64,0,10.67,0,0,1.64,114.1,0.82,35.3,5.75,0,0,0,0,23.8,1.64,160.07,0,0.82,0
 36-46,0,0,0.81,0,1.61,0,19.34,0,0,58.81,0.81,0,0.81,0,0,0,0.81,0,6.45,0,0,0.81,133.74,0,39.48,2.42,0,0,0,0,11.28,0,158.72,0,1.61,0
 48-58,0,0,0,0,1.15,0,18.36,0.57,0,51.07,0,0,0.57,0,0.57,0,1.72,0,5.16,0.57,0,1.72,99.27,0.57,29.26,2.3,0,0,0,0,5.74,0,130.25,0,0.57,2.3
 60-70,0,0,0,0,0.98,0,19.63,0,0.98,64.78,0,0,0,0,0.98,0,0.98,0,2.94,0,0.98,0,110.91,0,38.28,10.8,0,0,0,0,6.87,0,76.56,0,1.96,0
 72-82,0,0,2.94,0,0.98,0.98,11.78,0.98,0,57.92,0,0,0,0.98,0.98,0,8.83,0,12.76,0,0,0,86.39,0,44.17,10.8,0,0,0,0,6.87,0,43.19,0.98,0.98,0
 84-94,0,0,5.31,1.06,2.12,1.06,18.05,1.06,0,48.85,1.06,0,0,3.19,3.19,1.06,5.31,0,2.12,0,1.06,0,49.92,0,53.1,12.74,0,0,0,0,5.31,0,36.11,0,1.06,0
 96-106,0,0,0,0,1.09,0,4.37,0,0,38.25,0,0,0,3.28,3.28,0,10.93,0,4.37,0,0,0,25.14,0,64.48,15.3,0,1.09,0,0,5.46,0,21.86,0,1.09,0
108-118,0,0,0.77,0,3.06,0,12.26,0,0,34.47,1.53,0,0,3.06,0.77,0.77,9.19,0.77,1.53,0,0,1.53,47.49,0,45.96,13.79,0,0,0,0,3.06,0,19.92,0,0,0
120,0,0,0,0,1.96,1.96,5.88,0,0,19.6,1.96,0,0,1.96,1.96,0,11.76,0,3.92,0,0,0,33.32,0,31.36,11.76,0,0,0,0,7.84,0,13.72,0,0,1.96
