stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,1,0,2,1,3,2,0,1,2,0,0,0,0,0
 24-34,0,0,1.64,9.03,0,0,9.03,0,2.46,0,2.46,0,0.82,0,0.82,0,0,0,0,12.31,0,0,1.64,30.37,0,0,0,0,0,4.93,0,0,4.1,0.82,1.64,7.39,0,0,0,0,0.82
 36-46,0,0,0,4.83,0,0,7.25,6.45,3.22,1.61,4.03,0,0,0,4.03,0.81,0,0.81,0,16.92,0,0,4.83,28.2,0.81,0,2.42,0,0,10.47,0,0,1.61,1.61,0,5.64,0,0,3.22,0,2.42
 48-58,0,0,0,0.57,0,0,4.02,2.87,0.57,2.87,7.46,0,0.57,0,1.15,0,0.57,0,0.57,11.48,0,0,2.3,24.1,0,0,0,0,0,2.87,0,0,1.72,2.87,0,6.31,0,0,0,0,1.72
 60-70,0,0,0,2.94,0,0,11.78,10.8,4.91,6.87,24.54,0,0.98,0,0,0,0,0,0.98,21.59,0,0,2.94,14.72,0,0,0,0,0.98,4.91,0,0,0.98,7.85,0,4.91,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,14.72,5.89,0,6.87,52.03,1.96,0,1.96,1.96,0.98,0,0,0,82.46,1.96,0.98,8.83,20.61,0,0,3.93,0,0,7.85,0,0,0.98,5.89,0,2.94,0,0.98,3.93,1.96,5.89
 84-94,0,0,0,12.74,1.06,0,10.62,5.31,3.19,5.31,21.24,0,1.06,0,3.19,0,1.06,1.06,4.25,39.3,3.19,2.12,6.37,7.43,0,2.12,0,0,0,18.05,0,0,7.43,8.5,0,3.19,0,0,0,0,3.19
 96-106,0,0,0,14.21,2.19,0,16.39,12.02,2.19,8.74,38.25,1.09,1.09,2.19,8.74,1.09,1.09,0,1.09,60.11,1.09,0,4.37,19.67,0,6.56,6.56,0,0,31.69,0,0,7.65,18.58,0,6.56,3.28,0,4.37,2.19,2.19
108-118,0,0,0,31.4,0.77,6.89,16.09,15.32,13.79,3.83,36,2.3,1.53,1.53,6.89,3.06,2.3,5.36,2.3,71.23,3.06,3.83,10.72,29.11,1.53,0.77,8.43,0,0,38.3,0,0,6.13,19.92,0,0.77,0,0.77,2.3,0.77,3.83
120,0,0,0,88.19,1.96,1.96,21.56,21.56,21.56,7.84,64.67,25.48,3.92,1.96,11.76,7.84,0,15.68,1.96,68.59,0,3.92,15.68,47.03,0,1.96,3.92,0,0,135.23,0,0,19.6,7.84,0,5.88,0,1.96,9.8,1.96,0
