stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,0,0,0,0,4
 24-34,0,0,0,6.57,0,0,47.61,0,0,0,38.58,0,0.82,0.82,0,0.82,1.64,2.46,0,1.64,13.95,0,0,4.1,472.81,0.82,0,0,0,7.39,0,0.82,0.82,701.83,0,0,3.28,0,108.35
 36-46,0,0,0,2.42,0,0,149.85,1.61,1.61,1.61,270.7,0,0,0,1.61,1.61,0,0,0,0.81,32.23,0,0.81,23.36,1114.24,3.22,1.61,1.61,0,7.25,0.81,0.81,0,1404.28,0,0,4.03,0,182.89
 48-58,0,0,0,10.9,2.87,0,300.67,0.57,3.44,4.02,605.94,0,0,2.87,2.3,0,6.31,0,1.72,1.72,184.19,1.72,0.57,74.59,941.61,1.15,1.72,1.15,0,5.74,0,0.57,0,1131.54,0,0.57,5.16,0,253.05
 60-70,0,0.98,0,7.85,2.94,0,338.63,1.96,4.91,11.78,782.27,0,0,1.96,4.91,0.98,1.96,0.98,0.98,0.98,538.86,0.98,1.96,114.84,541.8,1.96,3.93,5.89,1.96,12.76,0.98,0,0,376.9,0,5.89,5.89,0.98,269.92
 72-82,0,0,0,35.34,12.76,0,544.82,5.89,3.93,36.32,1033.69,0.98,0,0.98,2.94,0.98,6.87,3.93,3.93,2.94,1171.12,0.98,6.87,188.48,584.09,0.98,2.94,6.87,5.89,17.67,0,0.98,0,106.02,0,14.72,10.8,5.89,256.21
 84-94,0,0,0,28.68,5.31,0,597.93,5.31,3.19,18.05,782.72,5.31,2.12,2.12,7.43,2.12,7.43,0,2.12,0,830.51,4.25,15.93,130.63,382.33,1.06,3.19,3.19,2.12,33.99,3.19,3.19,0,109.39,4.25,7.43,10.62,8.5,183.73
 96-106,1.09,2.19,1.09,104.91,21.86,4.37,704.89,7.65,18.58,32.79,813.08,12.02,0,4.37,18.58,6.56,4.37,3.28,9.84,0,1434.91,4.37,15.3,142.07,537.68,3.28,8.74,15.3,19.67,77.59,5.46,1.09,0,40.44,1.09,19.67,8.74,14.21,196.71
108-118,0,0.77,0.77,33.7,9.96,4.6,569.11,0.77,3.06,34.47,744.52,7.66,0,2.3,4.6,2.3,10.72,2.3,7.66,1.53,1514.31,4.6,13.02,166.98,562.98,3.06,3.06,3.06,27.57,51.32,3.06,0,0,26.04,2.3,16.09,10.72,3.06,214.47
120,0,0,0,47.03,15.68,3.92,464.47,1.96,5.88,45.08,936.78,9.8,0,0,25.48,5.88,9.8,3.92,5.88,0,1618.78,0,29.4,195.98,703.56,3.92,3.92,1.96,29.4,37.24,3.92,0,0,35.28,0,27.44,9.8,9.8,78.39
