stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,461.23,8170.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,422.94,7717.21,30.65,0,0,0,0,0,0,0,6.13,0,0,0,0,484.24,0,110.33,61.3,0,0,0,0,0
  7-9,0,52.57,315.45,0,0,5.26,0,0,0,0,0,0,0,0,0,1374.82,21.03,1387.96,0,5.26,0,2.63,0,0
 10-12,0,47.2,169.94,0,3.15,15.73,0,0,0,0,0,0,0,0,0,859.12,6.29,1872.45,0,3.15,0,88.12,3.15,0
 14-21,0,2,0,51,7,0,0,0,0,0,0,1,8,11,5,7,0,180,3,0,255,0,24,4
 24-34,0.82,0,0,0,0,0,0.82,2.46,0,0,0,0,2.46,6.57,1.64,2.46,0,0,0,0,0,0,24.63,9.85
 36-46,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,4.03,0.81,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,2.87,0.57,5.16,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,7.85,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,1.96,0.98,0,0,0,0,2.94,0.98,7.85,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,1.06,3.19,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0.77,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
