stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0.82,0,3.28,0
 36-46,0,0,0,14.5,0,0,0,0,0,0,0,0.81,0.81,6.45,0.81,0,0,0,2.42,0
 48-58,0,0,0,90.09,0,0.57,0,0,0,0,0,1.72,0.57,7.46,0,0.57,0,0.57,2.3,0.57
 60-70,0,0,0,244.4,0,0,0,0.98,0,0,0,2.94,0,8.83,0,0,0,0,0,0
 72-82,2.94,0,0,314.13,0.98,0,0,0.98,0,0,0,7.85,0.98,12.76,0,0,0,0,3.93,0
 84-94,1.06,0,0,301.62,1.06,1.06,2.12,1.06,0,1.06,0,9.56,0,8.5,0,0,1.06,0,0,1.06
 96-106,1.09,0,0,264.47,1.09,0,0,3.28,0,0,0,5.46,0,12.02,0,0,1.09,0,0,0
108-118,0,0.77,0.77,213.7,0,2.3,0,0,0.77,0,1.53,2.3,0.77,8.43,0.77,0,0,0,0,0
120,3.92,1.96,0,205.78,0,1.96,0,0,0,3.92,1.96,1.96,0,17.64,0,0,0,0,0,0
