stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,18.4,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,247.1,15.77,0,0,102.52,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,25.18,0,0,28.32,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,361.9,18.88,0,0,119.58,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,17,4,13,0,0,0,10,1,0,0,0,0,0,0,1,17,0,0,13,128,2,1,5,2,0,1,0,20,4,0,5,92,0,0,0,0
 24-34,0,0,0,0.82,4.1,0.82,22.16,0,0,0,9.03,0,0,1.64,1.64,0,0.82,0.82,0,17.24,0,0.82,8.21,200.29,0.82,4.1,0,0,0,2.46,0,0,2.46,0,1.64,66.49,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,29.81,0,0,1.61,15.31,0,0,0,0,0,0.81,0,0,19.34,0,0.81,4.83,131.32,0,8.06,3.22,0,0,3.22,0,0,0.81,0,0,33.84,0,0,0,0
 48-58,0,0,0,0,2.3,0,89.51,0,0,2.3,29.84,0,0,0,0.57,0,0,0,0,27.54,0,1.15,2.87,125.09,0.57,5.74,0.57,0,0,0.57,0,0,0,0,0,31.56,0,1.15,0,0
 60-70,0,0,0.98,0,4.91,0,270.9,0,0.98,0.98,22.58,0,0,0.98,0.98,0,0.98,0.98,0.98,37.3,0.98,0.98,2.94,152.14,0,6.87,0,0,0,0.98,0,0,0.98,0,0,24.54,1.96,0.98,0,0
 72-82,0,0,2.94,0,2.94,0.98,401.5,0,0,0.98,36.32,0,0,0,3.93,0,1.96,0.98,0.98,40.25,0,0.98,2.94,133.51,0,12.76,3.93,0,0.98,1.96,0,0,0.98,0,0,7.85,0.98,4.91,1.96,1.96
 84-94,0,0,0,0,2.12,1.06,287.81,0,1.06,2.12,23.36,3.19,0,2.12,3.19,1.06,3.19,0,0,21.24,0,1.06,2.12,73.28,1.06,8.5,3.19,0,0,2.12,0,0,1.06,0,0,9.56,0,1.06,0,0
 96-106,0,0,1.09,0,4.37,1.09,208.73,2.19,0,3.28,18.58,1.09,0,0,7.65,0,2.19,0,1.09,17.49,0,0,3.28,59.01,0,15.3,5.46,0,3.28,5.46,0,0,1.09,0,0,4.37,3.28,0,0,1.09
108-118,0,0,0,0,8.43,2.3,172.34,0,0.77,0,19.15,3.06,0,0,5.36,1.53,0,0.77,0.77,19.92,0,0.77,0.77,61.28,0.77,13.02,8.43,0,0.77,5.36,0,0,0,0.77,0,3.06,1.53,0.77,0,0
120,0,0,0,0,3.92,0,141.1,0,0,0,17.64,0,0,0,1.96,1.96,0,1.96,0,15.68,0,1.96,1.96,48.99,0,7.84,3.92,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0
