stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
 14-21,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,8.06,0,0,0,0,0,2.42,0
 48-58,0,0,0,0.57,0.57,0,0,0.57,0,0,0,8.61,0,0,0,0,0,1.15,0
 60-70,0,0.98,0,1.96,0,0,0,1.96,0.98,0,0,7.85,0.98,0,0,0,0,2.94,0
 72-82,0,0,0,3.93,0.98,1.96,0,2.94,1.96,0,0,4.91,0,0,0.98,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,1.06,0,5.31,0,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,1.09,0,0,1.09,0,0,1.09,8.74,0,1.09,0,7.65,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,6.89,0,0.77,0.77,3.83,0.77,0,0,0,0,0,1.53
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
