stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,iridophores,mesenchyme,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  7-9,0,0,2.63,0,0,0,0,0,10.51,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0.81,0
 48-58,0,0,1.15,0,0,0,0.57,0,2.87,0,0,0,0,0,0
 60-70,0.98,0,6.87,0,0,0,0,0.98,3.93,0,0,0,0,0,0
 72-82,0,2.94,2.94,0,0.98,0.98,0,1.96,3.93,0,0,0.98,0,0,0
 84-94,0,3.19,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,7.65,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.53,2.3,0,0,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
