stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,112,1,0,0,0,1,1,1,0,0,0,0,0,2,19,0,0,0,1,1,5,2,0
 24-34,0,0,0,1.64,195.36,2.46,0,0,0.82,4.1,7.39,0.82,0,0,0,3.28,0,0.82,35.3,0.82,0,0,0,0.82,9.85,1.64,0
 36-46,0,0,0,0,23.36,1.61,0,0,0,0,25.78,0,0,0,1.61,0,0,0,20.14,1.61,0,0.81,0,0,4.83,2.42,0
 48-58,0,0,0,0,39.02,4.02,0,0.57,1.15,0,9.75,0,0,0,0,2.3,0,0,9.75,0,0,0,0,0,1.72,5.16,0
 60-70,0,0,0,0,53,2.94,0,0,0.98,0,24.54,0,0,0,0,4.91,0,0.98,11.78,0,0,0,0,0,1.96,6.87,0
 72-82,0,0,0,0,73.62,3.93,0,0,0,0.98,37.3,0.98,0.98,0,0,7.85,0,0,6.87,0.98,0,0,0,0,0.98,18.65,0
 84-94,0,0,0,0,80.71,1.06,0,0,1.06,0,58.41,0,1.06,0,0,2.12,0,0,5.31,0,0,0,0,0,0,10.62,0
 96-106,0,0,0,0,107.1,3.28,0,0,0,1.09,83.06,0,0,1.09,0,5.46,1.09,1.09,3.28,0,0,1.09,0,0,0,17.49,1.09
108-118,0,0,0,0.77,99.58,2.3,0.77,0,0.77,0,75.83,0,0,0,0,3.06,0,0,4.6,0,0,1.53,0,0,0,16.09,0
120,0,0,0,3.92,139.14,1.96,0,0,0,0,86.23,0,3.92,0,0,1.96,0,0,7.84,0,0,0,0,0,0,11.76,0
