stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,21.03,0,21.03,0,0,0,81.49,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,336.48,5.26,0,0,131.44,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,50.35,0,0,0,69.23,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,654.57,9.44,0,0,173.08,0,0,3.15,0,31.47,3.15,6.29,0,0,0,0,0
 14-21,0,0,1,9,42,8,0,17,0,0,0,14,9,0,0,0,0,0,0,0,36,0,0,23,341,3,0,4,4,0,5,0,27,21,31,187,0,0,0,0,0
 24-34,0,0.82,0,1.64,13.13,0.82,0,37.76,0,0,0,20.52,0,1.64,0.82,0,2.46,0,0.82,0,54.18,0,0,14.78,372.67,0,4.93,6.57,0,0,4.1,0,0,20.52,3.28,146.93,0,0,0,0,0
 36-46,0,0,1.61,0.81,4.83,0.81,0,9.67,0,0.81,1.61,16.92,0.81,0,1.61,0,0,0,0,1.61,38.67,0.81,1.61,5.64,204.64,0,3.22,3.22,0,0,2.42,0,0,4.83,0,107.96,0,0,0,0,0.81
 48-58,0,0,1.15,0,1.72,0,0,31.56,0,1.15,1.72,28.12,1.15,1.72,0.57,0,0,0.57,1.15,4.02,54.51,0.57,0.57,5.74,141.16,0,2.3,4.59,0,0,2.87,0,0,0.57,0,48.77,0,1.72,1.72,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,68.71,0,1.96,1.96,56.93,4.91,0,0.98,0,0.98,0,2.94,0.98,67.73,0.98,3.93,6.87,195.32,0,0.98,0.98,0,0.98,1.96,0,0,2.94,0,54.97,0,1.96,0,0,0.98
 72-82,0,0,5.89,0,7.85,0,0.98,113.87,0,0.98,3.93,56.94,7.85,0,0,0,2.94,0.98,5.89,1.96,95.22,2.94,2.94,3.93,197.31,0,7.85,5.89,0,0.98,5.89,0,0,6.87,0,17.67,3.93,7.85,0,5.89,0
 84-94,0,0,6.37,1.06,11.68,0,2.12,72.22,1.06,1.06,4.25,39.3,15.93,2.12,2.12,1.06,3.19,2.12,5.31,5.31,40.36,0,4.25,5.31,98.77,0,2.12,10.62,0,0,4.25,0,0,8.5,0,20.18,11.68,7.43,0,2.12,0
 96-106,0,0,5.46,2.19,14.21,2.19,4.37,81.96,1.09,0,0,56.83,25.14,0,0,1.09,8.74,1.09,13.11,4.37,42.62,1.09,1.09,4.37,108.19,1.09,7.65,7.65,0,3.28,1.09,0,0,12.02,0,13.11,16.39,9.84,1.09,1.09,0
108-118,0,0,4.6,2.3,17.62,0,11.49,55.15,0,1.53,2.3,30.64,26.81,0,0.77,0,9.19,3.06,4.6,7.66,50.55,5.36,3.83,0.77,128.68,0,3.06,6.89,0,0.77,5.36,0,0,10.72,0,6.89,26.81,4.6,2.3,1.53,0
120,0,0,3.92,1.96,9.8,1.96,1.96,74.47,0,0,0,23.52,35.28,0,0,0,3.92,1.96,3.92,7.84,33.32,1.96,5.88,3.92,133.27,3.92,7.84,5.88,0,1.96,0,0,0,17.64,0,17.64,5.88,5.88,1.96,0,0
