stage,blastomeres,erythrocytes,eye,fin.epithelia,immune,mesenchyme,neural,periderm,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,10.51,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,6.57,0,0,1.64,0
 36-46,0,0,0.81,0,10.47,0,0,0.81,0.81
 48-58,0,0,0,0.57,8.03,1.15,0.57,1.72,0.57
 60-70,0,0,0,0,12.76,0,0,3.93,0
 72-82,0,0,0,0,23.56,0.98,0.98,0,1.96
 84-94,0,1.06,0,0,48.85,0,0,4.25,2.12
 96-106,0,0,1.09,0,38.25,0,0,0,1.09
108-118,0,0,0,0,25.28,0,0.77,1.53,1.53
120,0,0,0,0,33.32,0,0,0,1.96
